Annual Dropout Rate For the Prior School Year
School Name,Total %,Grade 8 %,Grade 9 %,Grade 10 %,Grade 11 %,Grade 12 %,Grade 9-12 %
State,<5,<5,<5,<5,<5,<5,<5
Clark,<5,<5,<5,<5,<5,<5,<5
100 Academy MS,7.69,9.38,NA,NA,NA,NA,NA
A-TECH,<5,NA,<5,<5,<5,<5,<5
Acceleration Academy,16.59,NA,25.00,14.52,19.73,15.91,16.59
Arbor View HS,<5,NA,<5,<5,<5,<5,<5
Bailey MS,<5,<5,NA,NA,NA,NA,NA
Basic HS,<5,NA,<5,<5,6.06,<5,<5
Becker MS,<5,<5,NA,NA,NA,NA,NA
Bonanza HS,<5,NA,<5,<5,<5,<5,<5
Boulder City HS,<5,NA,<5,<5,6.63,<5,<5
Bridger MS,<5,<5,NA,NA,NA,NA,NA
Brinley MS,<5,<5,NA,NA,NA,NA,NA
Brown JHS,<5,<5,NA,NA,NA,NA,NA
Burk Horizon SW HS,12.12,NA,NA,<5,NA,12.31,12.12
Burkholder MS,<5,<5,NA,NA,NA,NA,NA
Cadwallader MS,<5,<5,NA,NA,NA,NA,NA
Canarelli MS,<5,<5,NA,NA,NA,NA,NA
Cannon JHS,<5,<5,NA,NA,NA,NA,NA
Canyon Springs HS,<5,NA,<5,<5,5.20,<5,<5
Cashman MS,<5,<5,NA,NA,NA,NA,NA
CC Detention,17.86,NA,<5,<5,60.00,10.00,17.86
Centennial HS,<5,NA,<5,<5,<5,<5,<5
Chaparral HS,<5,NA,<5,<5,5.91,<5,<5
Cheyenne HS,<5,NA,<5,<5,<5,<5,<5
Cimarron- Memorial HS,<5,NA,<5,<5,<5,<5,<5
Clark HS,<5,NA,<5,<5,<5,<5,<5
Coronado HS,<5,NA,<5,<5,<5,<5,<5
Cortney JHS,<5,<5,NA,NA,NA,NA,NA
Cowan Behavior Jr/Sr HS,7.50,10.00,<5,9.09,6.25,<5,<5
Cowan Sunset SE HS,20.83,NA,<5,<5,37.50,33.33,20.83
Cram MS,<5,<5,NA,NA,NA,NA,NA
CSNHS East,<5,NA,NA,NA,<5,<5,<5
CSNHS South,<5,NA,NA,NA,<5,<5,<5
CSNHS West,<5,NA,NA,NA,<5,<5,<5
CTTA,<5,NA,NA,NA,<5,NA,<5
Del Sol Academy,<5,NA,<5,<5,<5,<5,<5
Delta Academy,<5,<5,<5,<5,<5,8.15,5.31
Desert Oasis HS,<5,NA,<5,<5,<5,<5,<5
Desert Pines HS,<5,NA,<5,5.41,5.47,<5,<5
Desert Rose HS,17.95,NA,NA,NA,14.29,18.45,17.95
Desert Willow Secondary,<5,<5,<5,<5,<5,<5,<5
Durango HS,<5,NA,<5,<5,<5,<5,<5
East CTA,<5,NA,<5,<5,<5,<5,<5
Eldorado HS,<5,NA,<5,<5,<5,<5,<5
Escobedo MS,<5,<5,NA,NA,NA,NA,NA
Explore Knowledge SEC,<5,<5,<5,<5,<5,<5,<5
Faiss MS,<5,<5,NA,NA,NA,NA,NA
Fertitta MS,<5,<5,NA,NA,NA,NA,NA
Findlay MS,<5,<5,NA,NA,NA,NA,NA
Foothill HS,<5,NA,<5,<5,<5,<5,<5
Fremont MS,<5,<5,NA,NA,NA,NA,NA
Garrett JHS,<5,<5,NA,NA,NA,NA,NA
Garside JHS,<5,<5,NA,NA,NA,NA,NA
Gibson (Robert) MS,<5,<5,NA,NA,NA,NA,NA
Global Community High school,5.08,NA,5.71,<5,7.14,<5,5.08
Green Valley HS,<5,NA,<5,<5,<5,<5,<5
Greenspun JHS,<5,<5,NA,NA,NA,NA,NA
Guinn MS,<5,<5,NA,NA,NA,NA,NA
"Gunderson, Barry and June MS",<5,<5,NA,NA,NA,NA,NA
Harney MS,<5,<5,NA,NA,NA,NA,NA
Hughes MS,<5,<5,NA,NA,NA,NA,NA
Hyde Park MS,<5,<5,NA,NA,NA,NA,NA
Indian Springs HS,<5,NA,<5,<5,<5,<5,<5
Indian Springs MS,<5,<5,NA,NA,NA,NA,NA
Innovations Charter SEC,<5,<5,<5,<5,7.69,<5,<5
Johnson JHS,<5,<5,NA,NA,NA,NA,NA
Johnston MS,<5,5.12,NA,NA,NA,NA,NA
Juvenile Detention 3- 12,<5,<5,<5,<5,<5,16.67,<5
Keller (Duane) MS,<5,<5,NA,NA,NA,NA,NA
Knudson MS,<5,<5,NA,NA,NA,NA,NA
Las Vegas Academy,<5,NA,<5,<5,<5,<5,<5
Las Vegas HS,<5,NA,<5,<5,<5,<5,<5
Laughlin Jr/Sr HS,6.65,9.23,<5,<5,12.73,6.12,6.34
Lawrence JHS,<5,<5,NA,NA,NA,NA,NA
Leavitt MS,<5,<5,NA,NA,NA,NA,NA
Legacy HS,<5,NA,<5,<5,6.56,<5,<5
Liberty HS,<5,NA,<5,<5,<5,<5,<5
Lied MS,<5,<5,NA,NA,NA,NA,NA
Lyon MS,<5,<5,NA,NA,NA,NA,NA
Mack (Jerome) MS,<5,<5,NA,NA,NA,NA,NA
"Mackey, Jo MS",<5,<5,NA,NA,NA,NA,NA
Mannion MS,<5,<5,NA,NA,NA,NA,NA
Martin MS,<5,<5,NA,NA,NA,NA,NA
Miley Achievement Center Sec,6.56,<5,<5,10.00,11.11,16.67,9.09
Miller (Bob) MS,<5,<5,NA,NA,NA,NA,NA
Miller (John) School,<5,<5,<5,<5,<5,<5,<5
Mission High School,<5,NA,<5,<5,<5,<5,<5
Moapa Valley HS,<5,NA,<5,<5,<5,<5,<5
Mojave HS,<5,NA,<5,<5,<5,<5,<5
Molasky JHS,<5,5.70,NA,NA,NA,NA,NA
Monaco MS,<5,<5,NA,NA,NA,NA,NA
Morris Sunset East HS,8.06,NA,25.00,10.53,<5,8.70,8.06
Nevada Learning Academy,8.26,5.71,6.60,7.34,10.69,15.77,10.18
NW CTA,<5,NA,<5,<5,<5,<5,<5
O'Callaghan MS,<5,<5,NA,NA,NA,NA,NA
Odyssey Charter HS,<5,NA,<5,<5,<5,<5,<5
Odyssey Charter MS,<5,<5,NA,NA,NA,NA,NA
Orr MS,<5,<5,NA,NA,NA,NA,NA
Palo Verde HS,<5,NA,<5,<5,<5,<5,<5
Peterson Behavior Jr./Sr. HS,9.45,<5,5.00,5.88,5.00,22.22,10.71
Rancho HS,<5,NA,<5,<5,<5,<5,<5
Robison MS,<5,<5,NA,NA,NA,NA,NA
Rogich MS,<5,<5,NA,NA,NA,NA,NA
Sandy Valley Jr/Sr HS,<5,<5,<5,<5,<5,5.00,<5
Saville MS,<5,<5,NA,NA,NA,NA,NA
Sawyer MS,<5,<5,NA,NA,NA,NA,NA
Schofield MS,<5,<5,NA,NA,NA,NA,NA
SE CTA,<5,NA,<5,<5,<5,<5,<5
Sedway MS,<5,<5,NA,NA,NA,NA,NA
Shadow Ridge HS,<5,NA,<5,<5,<5,<5,<5
Sierra Vista HS,<5,NA,<5,<5,<5,<5,<5
Silverado HS,<5,NA,<5,<5,<5,<5,<5
Silvestri JHS,<5,<5,NA,NA,NA,NA,NA
Smith (J.D.) MS,<5,<5,NA,NA,NA,NA,NA
South Continuation Jr./Sr. Hig,<5,<5,<5,10.00,8.00,<5,6.06
Spring Mountain Jr/Sr HS,20.69,<5,14.29,<5,14.29,44.44,21.05
Spring Valley HS,<5,NA,<5,<5,<5,<5,<5
Stewart School,<5,<5,25.00,<5,<5,<5,<5
Summit View J/SHS,11.11,NA,<5,<5,8.33,15.38,11.11
Sunrise Mountain HS,<5,NA,<5,<5,<5,6.36,<5
SW CTA,<5,NA,<5,<5,<5,<5,<5
Swainston MS,<5,<5,NA,NA,NA,NA,NA
Tarkanian MS,<5,<5,NA,NA,NA,NA,NA
Valley HS,5.05,NA,<5,5.79,5.56,6.28,5.05
Variety SEC,5.41,<5,6.67,<5,<5,10.00,<5
Virgin Valley HS,<5,NA,<5,<5,<5,<5,<5
Von Tobel MS,<5,<5,NA,NA,NA,NA,NA
VT CTA,<5,NA,<5,<5,<5,<5,<5
Webb MS,<5,<5,NA,NA,NA,NA,NA
West CTA,<5,NA,<5,<5,<5,<5,<5
West Prep Sec,<5,<5,<5,<5,<5,<5,<5
Western HS,<5,NA,<5,<5,<5,<5,<5
White MS,<5,<5,NA,NA,NA,NA,NA
Woodbury MS,<5,<5,NA,NA,NA,NA,NA
