School Name,English,Mathematics,Science,Social Studies
State,20,21,23,22
Clark,19,20,23,21
100 Academy MS,13,10,22,22
A-TECH,21,23,24,21
Acceleration Academy,31,11,33,32
Arbor View HS,23,24,22,21
Bailey MS,15,17,25,31
Basic HS,22,21,23,23
Becker MS,24,25,33,34
Bonanza HS,20,21,22,20
Boulder City HS,15,15,16,13
Bridger MS,10,21,19,26
Brinley MS,20,18,28,30
Brown JHS,16,17,17,20
Burk Horizon SW HS,1,1,1,1
Burkholder MS,13,16,23,24
Cadwallader MS,32,32,31,34
Canarelli MS,26,24,28,25
Cannon JHS,10,19,23,24
Canyon Springs HS,16,17,21,14
Cashman MS,25,25,30,29
CC Detention,3,4,6,3
Centennial HS,26,24,27,15
Chaparral HS,19,18,21,17
Cheyenne HS,18,24,22,19
Cimarron-Memorial HS,19,20,26,20
Clark HS,16,16,17,18
Coronado HS,26,25,25,25
Cortney JHS,17,20,20,21
Cowan Behavior Jr/Sr HS,3,3,5,4
Cowan Sunset SE HS,1,1,1,1
Cram MS,27,23,22,26
CSNHS East,18,15,0,17
CSNHS South,14,11,0,14
CSNHS West,20,25,0,19
CTTA,9,8,4,8
Del Sol Academy,17,22,27,20
Delta Academy,13,13,16,13
Desert Oasis HS,23,21,23,21
Desert Pines HS,19,18,19,16
Desert Rose HS,7,4,7,8
Desert Willow Secondary,2,2,2,2
Durango HS,23,24,26,24
East CTA,22,23,22,22
Eldorado HS,21,22,22,18
Escobedo MS,27,30,36,36
Explore Knowledge SEC,7,9,13,11
Faiss MS,31,32,25,34
Fertitta MS,13,23,27,32
Findlay MS,14,23,28,29
Foothill HS,17,18,17,16
Fremont MS,13,18,24,27
Garrett JHS,23,18,22,24
Garside JHS,13,15,19,18
Gibson (Robert) MS,13,18,23,27
Global Community High school,7,10,15,16
Green Valley HS,20,21,21,17
Greenspun JHS,13,21,22,33
Guinn MS,28,28,35,27
"Gunderson, Barry and June MS",29,28,36,36
Harney MS,26,18,25,24
Hughes MS,13,13,15,30
Hyde Park MS,24,28,25,26
Indian Springs HS,12,8,7,12
Indian Springs MS,7,6,9,16
Innovations Charter SEC,16,17,15,16
Johnson JHS,17,17,24,26
Johnston MS,26,31,29,26
Juvenile Detention 3-12,9,6,9,9
Keller (Duane) MS,20,13,25,23
Knudson MS,19,18,21,17
Las Vegas Academy,27,26,27,21
Las Vegas HS,19,19,22,18
Laughlin Jr/Sr HS,9,10,13,12
Lawrence JHS,8,20,27,26
Leavitt MS,24,29,29,29
Legacy HS,20,19,21,18
Liberty HS,25,25,24,20
Lied MS,25,27,26,31
Lyon MS,19,17,12,26
Mack (Jerome) MS,12,11,25,27
"Mackey, Jo MS",11,14,19,27
Mannion MS,16,23,27,25
Martin MS,14,21,31,28
Miley Achievement Center Sec,0,1,0,0
Miller (Bob) MS,25,25,27,29
Miller (John) School,N/A,N/A,N/A,N/A
Mission High School,3,3,2,7
Moapa Valley HS,27,19,28,25
Mojave HS,16,20,24,18
Molasky JHS,19,19,25,26
Monaco MS,13,21,24,20
Morris Sunset East HS,2,5,2,2
NECTA HS,20,21,19,22
Nevada Learning Academy,13,13,20,18
NW CTA,25,22,22,25
O'Callaghan MS,24,23,24,27
Odyssey Charter HS,60,45,78,40
Odyssey Charter MS,68,51,101,89
Orr MS,13,24,21,26
Palo Verde HS,23,26,26,25
Peterson Behavior Jr./Sr. HS,7,9,11,8
Rancho HS,22,21,23,19
Robison MS,14,19,25,27
Rogich MS,29,30,35,34
Sandy Valley Jr/Sr HS,6,7,8,7
Saville MS,25,27,32,31
Sawyer MS,21,24,22,25
Schofield MS,14,25,23,26
SE CTA,21,21,22,24
Sedway MS,22,13,23,23
Shadow Ridge HS,24,25,28,26
Sierra Vista HS,22,23,28,21
Silverado HS,21,22,24,23
Silvestri JHS,17,29,24,29
Smith (J.D.) MS,17,21,21,27
South Continuation Jr./Sr. Hig,3,3,4,4
Spring Mountain Jr/Sr HS,4,5,6,7
Spring Valley HS,22,22,26,18
Stewart School,N/A,N/A,N/A,N/A
Summit View J/SHS,1,2,0,1
Sunrise Mountain HS,19,16,19,16
SW CTA,24,24,26,24
Swainston MS,14,21,30,33
Tarkanian MS,26,26,33,31
Valley HS,20,21,21,18
Variety SEC,0,2,0,0
Virgin Valley HS,18,17,22,22
Von Tobel MS,19,20,21,23
VT CTA,24,26,24,18
Webb MS,18,31,35,35
West CTA,25,30,25,25
West Prep Sec,17,17,17,17
Western HS,20,22,22,21
White MS,15,23,25,27
Woodbury MS,19,19,25,22
