School Name,10 #, %, # English Learners, % English Learners, # Free or Reduced Priced Lunch Eligible, % Free or Reduced Priced Lunch Eligible, # IEP, % IEP, # Am In/ AK Native, % Am In/ AK Native, # Asian, % Asian, # Hispanic, % Hispanic, # Black, % Black, # White, % White, # Pacific Islander, % Pacific Islander, # Two or More Races, % Two or More Races, # Male, % Male, # Female, % Female, # Homeless, % Homeless, # Foster, % Foster, # Military Connected, % Military Connected
State,"8,107",20.8,"1,758",37,"7,030",22.1,"1,132",26.1,89,29.1,157,6.9,"4,318",24.4,"1,441",31.8,"1,512",13.7,125,22.3,465,17.4,"4,633",23,"3,471",18.4,367,50.8,63,46,46,13.2
Clark,"5,902",22.3,"1,382",37.8,"5,499",21.6,754,26.8,27,30.3,124,7,"3,240",25.4,"1,315",33.8,766,13.6,98,22.5,332,17.6,"3,394",25,"2,507",19.5,308,53.1,44,46.8,38,15
A-TECH,-,-,0,<5,-,-,0,<5,0,<5,0,<5,-,-,0,<5,-,-,0,<5,0,<5,-,-,-,-,N/A,N/A,N/A,N/A,-,-
Acceleration Academy,117,86.7,13,92.9,117,86.7,-,-,-,-,-,-,61,87.1,24,85.7,16,80,-,-,-,-,58,89.2,59,84.3,-,-,N/A,N/A,-,-
Arbor View HS,160,20,10,34.5,160,20,22,29.7,0,<5,-,-,51,22.6,36,33,48,14.9,-,-,20,20.4,94,21.6,66,18.1,-,-,0,<5,-,-
Basic HS,178,25.5,19,32.2,178,25.5,27,25.7,-,-,-,-,71,27.2,50,37.9,36,18.7,-,-,13,21.7,96,24.9,82,26.1,15,65.2,-,-,0,<5
Bonanza HS,214,39,69,58.5,214,39,30,42.3,0,<5,-,-,138,40.1,35,43.2,23,30.7,-,-,-,-,121,39.9,93,37.8,-,-,-,-,N/A,N/A
Boulder City HS,32,18.6,-,-,32,18.6,-,-,N/A,N/A,-,-,-,-,-,-,20,16.9,N/A,N/A,-,-,11,13.4,21,23.3,0,<5,0,<5,0,<5
Burk Horizon SW HS,-,-,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-,-,N/A,N/A,N/A,N/A,-,-,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Canyon Springs HS,182,24.3,59,34.5,182,24.3,26,25.7,N/A,N/A,0,<5,120,24.3,55,27.9,-,-,0,<5,-,-,108,29.8,74,19.2,-,-,-,-,0,<5
CC Detention,-,-,N/A,N/A,N/A,N/A,-,-,N/A,N/A,N/A,N/A,-,-,-,-,-,-,N/A,N/A,-,-,-,-,N/A,N/A,-,-,N/A,N/A,N/A,N/A
Centennial HS,132,17,12,26.1,132,17,21,21.6,-,-,0,<5,54,20.9,37,24.7,27,10.9,-,-,11,15.1,88,21.8,44,11.9,-,-,-,-,-,-
Chaparral HS,164,28.6,47,32.9,164,28.6,23,31.5,-,-,-,-,89,25.3,45,38.5,21,38.2,-,-,-,-,103,31.2,61,25,16,59.3,0,<5,0,<5
Cheyenne HS,198,37.2,44,57.1,198,37.2,34,40.5,0,<5,-,-,113,39.1,58,40,12,30.8,-,-,-,-,119,40.8,79,32.9,-,-,0,<5,-,-
Cimarron-Memorial HS,130,20.3,26,26.8,130,20.3,17,22.7,-,-,-,-,74,20.1,33,26.4,10,14.5,-,-,-,-,85,23.4,45,16.2,-,-,-,-,-,-
Clark HS,211,28.2,86,43.9,211,28.2,30,36.1,0,<5,-,-,151,33.9,32,30.2,12,25,-,-,-,-,134,32.8,77,22.8,10,40,0,<5,0,<5
