Credit Deficiency By Grade 11
School Name,11 #, %, # English Learners, % English Learners, # Free or Reduced Priced Lunch Eligible, % Free or Reduced Priced Lunch Eligible, # IEP, % IEP, # Am In/ AK Native, % Am In/ AK Native, # Asian, % Asian, # Hispanic, % Hispanic, # Black, % Black, # White, % White, # Pacific Islander, % Pacific Islander, # Two or More Races, % Two or More Races, # Male, % Male, # Female, % Female, # Homeless, % Homeless, # Foster, % Foster, # Military Connected, % Military Connected
State,"7,501",19.3,"1,581",33.7,"6,384",20.5,"1,076",25.3,88,30.2,150,6.3,"3,991",22.5,"1,312",29.8,"1,367",12.7,132,19.9,461,17.3,"4,202",21.2,"3,292",17.2,323,46.3,55,42.6,24,7.6
Clark,"5,400",20.3,"1,225",33.5,"4,965",19.7,704,25.3,24,27.6,126,6.9,"2,910",22.6,"1,187",31.5,707,12.7,100,19.6,346,18,"3,000",22.1,"2,394",18.4,265,48,41,44.6,18,7.9
A-TECH,0,<5,0,<5,0,<5,0,<5,N/A,N/A,0,<5,0,<5,0,<5,0,<5,N/A,N/A,0,<5,0,<5,0,<5,N/A,N/A,N/A,N/A,0,<5
Acceleration Academy,293,80.1,39,84.8,293,80.1,-,-,-,-,-,-,144,78.7,73,88,47,79.7,-,-,16,76.2,130,85.5,162,76.1,17,85,N/A,N/A,0,<5
Arbor View HS,170,20.8,11,42.3,170,20.8,22,26.2,-,-,-,-,57,25.3,50,42.4,42,13,0,<5,15,16.1,94,22.9,75,18.5,-,-,-,-,-,-
Basic HS,141,22.4,22,32.4,141,22.4,28,28.6,0,<5,-,-,67,25.6,31,30.4,29,17.5,-,-,10,22.7,75,22.5,66,22.2,-,-,-,-,0,<5
Bonanza HS,155,33.1,38,40,155,33.1,18,31,N/A,N/A,-,-,96,32.7,21,35,21,40.4,-,-,-,-,72,30.4,83,35.9,-,-,N/A,N/A,0,<5
Boulder City HS,27,17,0,<5,27,17,0,<5,N/A,N/A,0,<5,-,-,-,-,19,15.3,0,<5,-,-,-,-,18,25.4,N/A,N/A,N/A,N/A,N/A,N/A
Burk Horizon SW HS,-,-,-,-,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-,-,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-,-,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Canyon Springs HS,114,16,33,22.6,114,16,21,22.8,N/A,N/A,-,-,70,15.2,33,17.6,-,-,-,-,-,-,56,16,58,15.9,-,-,-,-,0,<5
CC Detention,10,83.3,N/A,N/A,N/A,N/A,-,-,N/A,N/A,N/A,N/A,-,-,-,-,N/A,N/A,N/A,N/A,N/A,N/A,10,83.3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Centennial HS,127,16.2,12,29.3,127,16.2,24,26.7,0,<5,-,-,46,17.9,36,23.7,26,10.5,-,-,14,15.9,71,17.4,56,14.9,-,-,-,-,0,<5
Chaparral HS,191,30.6,57,31.1,191,30.6,31,33.7,-,-,-,-,114,28.2,46,40,18,37.5,-,-,-,-,110,32.9,81,27.9,13,50,-,-,N/A,N/A
Cheyenne HS,166,30.3,35,38,166,30.3,21,28.4,-,-,-,-,96,31.8,44,31.4,14,31.8,-,-,-,-,97,33.1,68,26.8,-,-,0,<5,0,<5
Cimarron-Memorial HS,123,19.5,28,25.5,123,19.5,13,17.3,0,<5,0,<5,65,17.5,37,26.8,11,18.3,0,<5,10,31.3,69,20.4,54,18.4,-,-,-,-,0,<5
Clark HS,151,20.7,65,34.9,151,20.7,16,20.8,0,<5,-,-,114,26.3,25,28.4,-,-,0,<5,-,-,79,22.1,72,19.5,-,-,-,-,N/A,N/A
Coronado HS,118,14.6,11,40.7,118,14.6,-,-,0,<5,10,10.5,33,20.2,17,30.4,40,10.6,-,-,16,15.8,72,17.1,46,11.8,-,-,-,-,0,<5
Cowan Behavior Jr/Sr HS,13,59.1,-,-,13,59.1,-,-,N/A,N/A,-,-,-,-,-,-,N/A,N/A,N/A,N/A,-,-,-,-,-,-,0,<5,N/A,N/A,N/A,N/A
Cowan Sunset SE HS,-,-,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-,-,N/A,N/A,N/A,N/A,N/A,N/A,-,-,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
CSNHS East,0,<5,0,<5,N/A,N/A,0,<5,N/A,N/A,0,<5,0,<5,0,<5,0,<5,0,<5,0,<5,0,<5,0,<5,0,<5,N/A,N/A,N/A,N/A
CSNHS South,0,<5,N/A,N/A,N/A,N/A,0,<5,N/A,N/A,0,<5,0,<5,0,<5,0,<5,N/A,N/A,0,<5,0,<5,0,<5,0,<5,N/A,N/A,0,<5
CSNHS West,0,<5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,<5,0,<5,0,<5,0,<5,0,<5,0,<5,0,<5,0,<5,0,<5,N/A,N/A,N/A,N/A
CTTA,10,25,-,-,10,25,-,-,N/A,N/A,N/A,N/A,-,-,0,<5,-,-,N/A,N/A,-,-,-,-,-,-,N/A,N/A,N/A,N/A,0,<5
Del Sol Academy,111,18.6,39,26.2,111,18.6,18,24,-,-,-,-,64,16.9,28,35.4,-,-,-,-,10,23.8,65,22.6,46,14.8,12,60,-,-,-,-
Delta Academy,90,37.2,13,68.4,90,37.2,12,42.9,N/A,N/A,0,<5,46,45.5,19,38.8,16,26.2,-,-,-,-,40,36.4,50,38.2,-,-,N/A,N/A,0,<5
Desert Oasis HS,98,12,10,17.5,98,12,11,18,0,<5,-,-,44,16.7,27,24.1,-,-,-,-,12,13,59,13.9,39,10,-,-,0,<5,-,-
Desert Pines HS,215,27.3,96,39,215,27.3,28,26.2,0,<5,-,-,173,27.7,33,32,-,-,0,<5,-,-,121,29.8,94,24.7,13,48.1,-,-,N/A,N/A
Desert Rose HS,-,-,-,-,-,-,-,-,N/A,N/A,N/A,N/A,-,-,-,-,N/A,N/A,N/A,N/A,N/A,N/A,-,-,-,-,N/A,N/A,0,<5,N/A,N/A
Desert Willow Secondary,-,-,N/A,N/A,N/A,N/A,-,-,N/A,N/A,N/A,N/A,-,-,-,-,N/A,N/A,-,-,N/A,N/A,-,-,-,-,N/A,N/A,-,-,N/A,N/A
Durango HS,222,36.8,41,47.1,222,36.8,29,44.6,0,<5,16,20,109,42.2,41,36.6,31,35.2,-,-,19,44.2,128,39.9,94,33.3,10,66.7,-,-,-,-
East CTA,14,<5,-,-,14,<5,-,-,N/A,N/A,-,-,11,<5,-,-,0,<5,0,<5,-,-,-,-,-,-,0,<5,N/A,N/A,0,<5
Eldorado HS,127,23.6,41,29.3,127,23.6,17,21.5,-,-,-,-,96,22.9,13,30.2,10,22.7,0,<5,-,-,77,25.2,50,21.6,-,-,0,<5,N/A,N/A
Explore Knowledge SEC,-,-,0,<5,N/A,N/A,0,<5,N/A,N/A,0,<5,0,<5,0,<5,-,-,0,<5,N/A,N/A,-,-,0,<5,N/A,N/A,N/A,N/A,0,<5
Foothill HS,138,23.5,12,60,138,23.5,20,27.8,-,-,-,-,44,31.7,19,42.2,45,15.3,-,-,22,33.3,89,29,49,17.6,-,-,-,-,0,<5
Global Community High school,32,41.6,32,41.6,32,41.6,0,<5,N/A,N/A,0,<5,29,40.3,-,-,-,-,N/A,N/A,N/A,N/A,23,46,-,-,-,-,N/A,N/A,N/A,N/A
