School Name,Stars
100 Academy SET ES,1
Adcock ES,2
Antonello ES,3
Bartlett ES,3
Beatty J ES,3
Bendorf ES,2
Bilbray ES,4
Booker ES,2
Bozarth ES,4
Brown H M ES,4
Abston ES,2
Alamo ES,3
Bailey ES,1
Bass ES,4
Beckley ES,1
Bennett William ES,1
Blue Diamond ES,5
Bowler Grant ES,4
Bracken ES,4
Bruner ES,1
Adams ES,1
Allen ES,2
Barber ES,3
Batterman ES,4
Bell ES,1
Berkley ES,4
Bonner ES,5
Bowler Joseph ES,1
Brookman ES,2
Bryan Richard ES,3
Bryan Roger ES,2
Cambeiro ES,1
Christensen ES,2
Cox C ES,2
Craig ES,1
Cunningham ES,1
Dearing ES,1
Desert Willow ES,NR
Diaz ES,1
Divich ES,3
Duncan ES,1
Edwards ES,1
Ellis ES,4
Fine ES,2
Forbuss ES,2
Galloway ES,1
Gene Ward ES,1
Givens ES,4
Goolsby ES,5
Gray ES,2
Hancock ES,1
Hayden ES,1
Heckethorn ES,4
Hewetson ES,1
Hinman ES,1
Hummel ES,1
Iverson ES,2
Jenkins ES,1
Jydstrup ES,3
Keller ES,2
Kim ES,1
Lake ES,1
Long ES,1
Lundy ES,NR
Mack ES,3
Martinez ES,2
Mc Call ES,2
Mc Millan ES,2
Miley Achvmt ES,NR
Mitchell ES,NR
Mountain View ES,1
NV LRN ACAD ES,1
ORoarke ES,4
Park ES,1
Perkins U ES,4
Pittman ES,3
Red Rock ES,2
Reid ES,NR
Roberts ES,1
Ronzone ES,1
Rundle ES,1
Schorr ES,2
Bunker ES,1
Carl ES,2
Conners ES,4
Cox D ES,4
Crestwood ES,3
Dailey ES,1
Decker ES,3
Deskin ES,2
Dickens ES,1
Dondero ES,2
Earl I ES,1
Eisenberg ES,2
Expl Knowledge ES,2
Fitzgerald ES,1
French ES,2
Garehime ES,1
Gibson ES,3
Goldfarb ES,1
Goynes ES,3
Griffith ES,1
Harmon ES,1
Hayes ES,3
Herr ES,1
Hickey ES,1
Hoggard ES,3
Indian Springs ES,2
Jacobson ES,2
Jones Blackhurst ES,3
Kahre ES,1
Kelly ES,1
King Martha ES,3
Lamping ES,3
Lowman ES,1
Lunt ES,1
Mackey ES,2
Mathis ES,3
Mc Caw ES,5
Mc Williams ES,1
Miller John F ES,1
Moore ES,2
Neal ES,3
Ober ES,3
Ortwein ES,3
Parson ES,2
Petersen ES,2
Priest ES,2
Reed ES,1
Rhodes ES,2
Rogers ES,2
Roundy ES,1
Sandy Valley ES,3
Scott ES,1
Cahlan ES,1
Cartwright ES,2
Cortez ES,2
