Parent Teacher Conference Attendance
School Name,Accountability Year,Parent/ Teacher Conference Attendance
Blue Diamond ES,2022,100
Bonner ES,2024,100
Bonner ES,2023,100
Bonner ES,2022,100
Booker ES,2024,95
Booker ES,2023,100
Booker ES,2022,97
Bowler (Grant) ES,2024,95
Bowler (Grant) ES,2023,88
Bowler (Grant) ES,2022,94
Bowler (Joseph) ES,2024,97
Bowler (Joseph) ES,2023,96
Bowler (Joseph) ES,2022,98
Bozarth ES,2024,100
Bozarth ES,2023,99
Bozarth ES,2022,98
Bracken ES,2024,93
Bracken ES,2023,94
Bracken ES,2022,96
Brookman ES,2024,99
Brookman ES,2023,99
Brookman ES,2022,100
Brown JHS,2022,90
"Brown, Hannah Marie ES",2024,95
"Brown, Hannah Marie ES",2023,95
"Brown, Hannah Marie ES",2022,87
Bruner ES,2024,75
Bruner ES,2023,89
Bruner ES,2022,95
Bryan (Richard) ES,2024,97
Bryan (Richard) ES,2023,98
Bryan (Richard) ES,2022,92
Bryan (Roger) ES,2024,100
Bryan (Roger) ES,2023,100
Bryan (Roger) ES,2022,100
Bunker ES,2024,92
Bunker ES,2023,97
Bunker ES,2022,100
Cahlan ES,2024,93
Cahlan ES,2023,93
Cahlan ES,2022,92.4
Cambeiro ES,2024,93
Cambeiro ES,2023,97
Cambeiro ES,2022,89
Carl ES,2024,100
Carl ES,2023,98
Carl ES,2022,99.9
Carson ES,2024,94
Carson ES,2023,96
Carson ES,2022,97
Cartwright ES,2024,88
Cartwright ES,2023,94
Cartwright ES,2022,98
Christensen ES,2024,96
Christensen ES,2023,98
Christensen ES,2022,98
Conners ES,2024,96
Conners ES,2023,95
Conners ES,2022,95.83
Cortez ES,2024,89
Cortez ES,2023,80
Cortez ES,2022,70
Cox (Clyde) ES,2024,86
Cox (Clyde) ES,2023,88
Cox (Clyde) ES,2022,95
Cox (David) ES,2024,96
Cox (David) ES,2023,98
Cox (David) ES,2022,96
Cozine ES,2024,94
Cozine ES,2023,98
Cozine ES,2022,95
Craig ES,2024,80
Craig ES,2023,89
Craig ES,2022,86
Crestwood ES,2024,98.42
Crestwood ES,2023,98
Crestwood ES,2022,99
Culley ES,2024,95
Culley ES,2023,100
Culley ES,2022,100
Cunningham ES,2024,79
Cunningham ES,2023,78
Cunningham ES,2022,95
Dailey ES,2024,97
Dailey ES,2023,100
Dailey ES,2022,100
Darnell ES,2024,80
Darnell ES,2023,78
Darnell ES,2022,95
Dearing ES,2024,70
Dearing ES,2023,96
Dearing ES,2022,88
Decker ES,2024,95
Decker ES,2023,94
Decker ES,2022,95
Dennis Ortwein Elementary,2024,97
Dennis Ortwein Elementary,2023,95
Dennis Ortwein Elementary,2022,96
Derfelt ES,2024,98
Derfelt ES,2023,97
Derfelt ES,2022,94
Desert Willow ES,2024,0
Deskin ES,2024,60
Deskin ES,2023,90
Deskin ES,2022,96
Detwiler ES,2024,100
Detwiler ES,2023,100
Detwiler ES,2022,92
Diaz ES,2024,95
Diaz ES,2023,97
Diaz ES,2022,98
Dickens ES,2024,82
Dickens ES,2023,92
Dickens ES,2022,84
Diskin ES,2024,97
Diskin ES,2023,93
Diskin ES,2022,97
Dondero ES,2024,91
Dondero ES,2023,87
Dondero ES,2022,94
Dooley ES,2024,95
Dooley ES,2023,92
Dooley ES,2022,97.14
Duncan ES,2024,88
Duncan ES,2023,96
Duncan ES,2022,97
Earl (Ira) ES,2024,87
Earl (Ira) ES,2023,90
Earl (Ira) ES,2022,87
Earl (Marion) ES,2024,99
Earl (Marion) ES,2023,98
Early Childhood Program,2024,100
Early Childhood Program,2023,100
Early Childhood Program,2022,88
Edwards ES,2024,98
Edwards ES,2023,95
Edwards ES,2022,95
Eisenberg ES,2024,98
Eisenberg ES,2023,97
Eisenberg ES,2022,92
Elizondo ES,2024,87
Elizondo ES,2023,93
Elizondo ES,2022,85
Ellis ES,2024,98
Ellis ES,2023,98
Ellis ES,2022,98
Explore Knowledge ES,2024,76
Explore Knowledge ES,2023,83
Explore Knowledge ES,2022,72
Ferron ES,2024,94
Ferron ES,2023,96
Ferron ES,2022,89
Fine ES,2024,83
Fine ES,2023,95
Fine ES,2022,97
Fitzgerald ES,2024,98
Fitzgerald ES,2023,95
Fitzgerald ES,2022,95
Fong ES,2024,98
Fong ES,2023,94
Fong ES,2022,99
Forbuss ES,2024,95
Forbuss ES,2023,96
Forbuss ES,2022,98
French ES,2024,98
French ES,2023,98
French ES,2022,98
Frias ES,2024,96
Frias ES,2023,95
Frias ES,2022,96
Galloway ES,2024,98
Galloway ES,2023,98
Galloway ES,2022,94.41
Garehime ES,2024,98
Garehime ES,2023,96
Garehime ES,2022,95
Gehring ES,2024,95
Gehring ES,2023,98
Gehring ES,2022,98
Gibson (James) ES,2024,97
Gibson (James) ES,2023,100
Gibson (James) ES,2022,100
Gilbert ES,2024,98
Gilbert ES,2023,98
Gilbert ES,2022,93
Givens ES,2024,94
Givens ES,2023,94
Givens ES,2022,90
Goldfarb ES,2024,95
Goldfarb ES,2023,99
Goldfarb ES,2022,97
Goodsprings ES,2024,100
Goodsprings ES,2023,100
Goodsprings ES,2022,100
Goolsby ES,2024,99
Goolsby ES,2023,100
Goolsby ES,2022,100
Goynes ES,2024,96
Goynes ES,2023,97
Goynes ES,2022,98
Gragson ES,2024,90
Gragson ES,2023,97
Gragson ES,2022,92
Gray ES,2024,97
Gray ES,2023,98
Gray ES,2022,100
Greenspun JHS,2022,90
Griffith ES,2024,98.5
Griffith ES,2023,99
Griffith ES,2022,97
Guy ES,2024,96
Guy ES,2023,99
Guy ES,2022,98
Hancock ES,2024,95
Hancock ES,2023,94
Hancock ES,2022,87
Harmon ES,2024,98
Harmon ES,2023,97
Harmon ES,2022,95
Harris ES,2024,95
Harris ES,2023,98
Harris ES,2022,99
Hayden ES,2024,90
Hayden ES,2023,90
Hayden ES,2022,90
Hayes ES,2024,100
Hayes ES,2023,100
Hayes ES,2022,100
Heard Academy ES,2024,92
Heard Academy ES,2023,92
Heard Academy ES,2022,94
Heckethorn ES,2024,99
Heckethorn ES,2023,99
Heckethorn ES,2022,100
Herr ES,2024,65
Herr ES,2023,45
Herron ES,2024,92
Herron ES,2023,92
Herron ES,2022,100
Hewetson ES,2024,96
Hewetson ES,2023,93
Hewetson ES,2022,94
Hickey ES,2024,82
Hickey ES,2023,75
Hickey ES,2022,75
Hill ES,2024,92
Hill ES,2023,96
Hill ES,2022,96
Hinman ES,2024,75
Hinman ES,2023,71
Hinman ES,2022,93
Hoggard ES,2024,96
Hoggard ES,2023,98
Hoggard ES,2022,90
Hollingsworth ES,2024,95
Hollingsworth ES,2023,92
Hollingsworth ES,2022,100
Hummel ES,2024,87
Hummel ES,2023,97
Hyde Park MS,2022,20
Indian Springs ES,2024,97
Indian Springs ES,2023,96
Indian Springs ES,2022,80
Indian Springs MS,2022,20
Innovations International ES,2024,94
Innovations International ES,2023,97
Innovations International ES,2022,97
Iverson ES,2024,94
Iverson ES,2023,95
Iverson ES,2022,92
Jacobson ES,2024,70
Jacobson ES,2023,96
Jacobson ES,2022,93
Jeffers ES,2024,92
