School Name,All Schools,Kindergarten,1st Grade,2nd Grade,3rd Grade,4th Grade,5th Grade,6th Grade,7th Grade,8th Grade
State,21:1,18:1,19:1,20:1,21:1,25:1,26:1,17:1,N/A,N/A
Clark,21:1,18:1,18:1,19:1,21:1,26:1,26:1,19:1,N/A,N/A
100 Academy ES,8:1,3:1,15:1,11:1,22:1,20:1,25:1,N/A,N/A,N/A
100 Academy MS,6:1,N/A,N/A,N/A,N/A,N/A,N/A,6:1,N/A,N/A
"Abston, Sandra B ES",22:1,18:1,18:1,20:1,22:1,28:1,28:1,N/A,N/A,N/A
Adams ES,22:1,18:1,18:1,23:1,21:1,24:1,25:1,N/A,N/A,N/A
Adcock ES,18:1,14:1,16:1,15:1,16:1,29:1,26:1,N/A,N/A,N/A
Alamo ES,28:1,23:1,29:1,26:1,26:1,32:1,31:1,N/A,N/A,N/A
Allen ES,23:1,16:1,19:1,22:1,24:1,31:1,27:1,N/A,N/A,N/A
Antonello ES,23:1,22:1,21:1,21:1,20:1,24:1,30:1,N/A,N/A,N/A
Bailey (Sister) ES,25:1,20:1,26:1,19:1,29:1,28:1,32:1,N/A,N/A,N/A
Bailey MS,24:1,N/A,N/A,N/A,N/A,N/A,N/A,24:1,N/A,N/A
Bartlett ES,23:1,19:1,19:1,21:1,22:1,29:1,33:1,N/A,N/A,N/A
Bass ES,20:1,15:1,19:1,21:1,20:1,26:1,23:1,N/A,N/A,N/A
Batterman ES,23:1,21:1,19:1,18:1,21:1,27:1,31:1,N/A,N/A,N/A
Beatty ES,30:1,22:1,23:1,25:1,32:1,42:1,42:1,N/A,N/A,N/A
Becker MS,21:1,N/A,N/A,N/A,N/A,N/A,N/A,21:1,N/A,N/A
Beckley ES,21:1,17:1,17:1,20:1,20:1,28:1,32:1,N/A,N/A,N/A
Bell ES,20:1,17:1,17:1,17:1,21:1,29:1,28:1,N/A,N/A,N/A
Bendorf ES,20:1,19:1,16:1,17:1,26:1,17:1,30:1,N/A,N/A,N/A
Bennett ES,15:1,12:1,13:1,15:1,13:1,20:1,17:1,N/A,N/A,N/A
Berkley ES,22:1,14:1,17:1,21:1,23:1,27:1,31:1,N/A,N/A,N/A
Bilbray ES,23:1,20:1,19:1,21:1,24:1,27:1,30:1,N/A,N/A,N/A
Blackhurst ES,26:1,21:1,23:1,23:1,24:1,36:1,33:1,N/A,N/A,N/A
Blue Diamond ES,10:1,9:1,8:1,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Bonner ES,23:1,16:1,20:1,21:1,22:1,29:1,35:1,N/A,N/A,N/A
Booker ES,17:1,15:1,19:1,19:1,16:1,16:1,18:1,N/A,N/A,N/A
Bowler (Grant) ES,22:1,17:1,23:1,18:1,22:1,28:1,27:1,N/A,N/A,N/A
Bowler (Joseph) ES,18:1,20:1,15:1,15:1,16:1,23:1,24:1,N/A,N/A,N/A
Bozarth ES,23:1,15:1,20:1,23:1,22:1,35:1,32:1,N/A,N/A,N/A
Bracken ES,22:1,21:1,15:1,20:1,22:1,29:1,29:1,N/A,N/A,N/A
Bridger MS,15:1,N/A,N/A,N/A,N/A,N/A,N/A,15:1,N/A,N/A
Brinley MS,14:1,N/A,N/A,N/A,N/A,N/A,N/A,14:1,N/A,N/A
Brookman ES,19:1,15:1,13:1,19:1,18:1,24:1,34:1,N/A,N/A,N/A
Brown JHS,15:1,N/A,N/A,N/A,N/A,N/A,N/A,15:1,N/A,N/A
"Brown, Hannah Marie ES",22:1,19:1,18:1,22:1,22:1,28:1,26:1,N/A,N/A,N/A
Bruner ES,24:1,25:1,19:1,21:1,22:1,34:1,30:1,N/A,N/A,N/A
Bryan (Richard) ES,23:1,18:1,21:1,22:1,20:1,27:1,27:1,N/A,N/A,N/A
Bryan (Roger) ES,20:1,16:1,17:1,23:1,21:1,24:1,20:1,N/A,N/A,N/A
Bunker ES,20:1,17:1,16:1,17:1,23:1,23:1,26:1,N/A,N/A,N/A
Burkholder MS,18:1,N/A,N/A,N/A,N/A,N/A,N/A,18:1,N/A,N/A
Cadwallader MS,32:1,N/A,N/A,N/A,N/A,N/A,N/A,32:1,N/A,N/A
Cahlan ES,18:1,14:1,17:1,16:1,18:1,24:1,22:1,N/A,N/A,N/A
Cambeiro ES,21:1,17:1,15:1,22:1,17:1,32:1,36:1,N/A,N/A,N/A
Canarelli MS,18:1,N/A,N/A,N/A,N/A,N/A,N/A,18:1,N/A,N/A
Cannon JHS,17:1,N/A,N/A,N/A,N/A,N/A,N/A,17:1,N/A,N/A
Carl ES,20:1,15:1,15:1,17:1,18:1,29:1,36:1,N/A,N/A,N/A
Carson ES,16:1,13:1,15:1,13:1,16:1,24:1,22:1,N/A,N/A,N/A
Cartwright ES,22:1,20:1,19:1,17:1,21:1,34:1,28:1,N/A,N/A,N/A
Cashman MS,18:1,N/A,N/A,N/A,N/A,N/A,N/A,18:1,N/A,N/A
CC Detention,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
