School Name,Average Daily Attendance
State,76.7
Clark,71
100 Academy ES,94.7
100 Academy MS,96.9
A-TECH,74.6
"Abston, Sandra B ES",74.6
Acceleration Academy,100
Adams ES,70.1
Adcock ES,81.6
Adult Ed,62.8
Alamo ES,70.6
Allen ES,72.5
Antonello ES,72.3
Arbor View HS,71.4
Bailey (Sister) ES,67.7
Bailey MS,67.6
Bartlett ES,70.2
Basic HS,74.6
Bass ES,76
Batterman ES,75
Beatty ES,67.7
Becker MS,73
Beckley ES,65.6
Bell ES,70.7
Bendorf ES,65.8
Bennett ES,68.2
Berkley ES,74.9
Bilbray ES,71
Blackhurst ES,76.5
Blue Diamond ES,64
Bonanza HS,71.9
Bonner ES,75.4
Booker ES,65.7
Boulder City HS,68.8
Bowler (Grant) ES,70.3
Bowler (Joseph) ES,69.5
Bozarth ES,71
Bracken ES,75.1
Bridger MS,72.7
Brinley MS,65.7
Brookman ES,70.9
Brown JHS,67.3
"Brown, Hannah Marie ES",75.9
Bruner ES,69.7
Bryan (Richard) ES,74.2
Bryan (Roger) ES,73.3
Bunker ES,76.3
Burk Horizon SW HS,65.8
Burkholder MS,62.2
Cadwallader MS,71
Cahlan ES,69.8
Cambeiro ES,77
Canarelli MS,70.3
Cannon JHS,69.3
Canyon Springs HS,71.4
Carl ES,69.8
Carson ES,74.1
Cartwright ES,75.6
Cashman MS,72.9
CC Detention,*
Centennial HS,70.2
Chaparral HS,70.8
Cheyenne HS,73.4
Child Find,*
Christensen ES,71.8
Cimarron-Memorial HS,75.7
Clark HS,69.9
Conners ES,70.7
Coronado HS,76.3
Cortez ES,72
Cortney JHS,67.5
Cowan Behavior Jr/Sr HS,71
Cowan Sunset SE HS,84.4
Cox (Clyde) ES,76.7
Cox (David) ES,72.7
Cozine ES,71.1
Craig ES,76.9
Cram MS,65.7
Crestwood ES,77.5
CSNHS East,73.6
CSNHS South,71.3
CSNHS West,67.3
CTTA,71.1
Culley ES,64.3
Cunningham ES,73.3
Dailey ES,70
Darnell ES,69.9
Dearing ES,71.8
Decker ES,75.8
Del Sol Academy,71.9
Delta Academy,97.4
Dennis Ortwein Elementary,71.7
Derfelt ES,69.4
Desert Oasis HS,70.4
Desert Pines HS,71.9
Desert Rose HS,68.9
Desert Willow ES,*
Desert Willow Secondary,*
Deskin ES,71.3
Detwiler ES,73.6
Diaz ES,72.6
Dickens ES,72.1
Diskin ES,70.7
Dondero ES,76.1
Dooley ES,68.8
Duncan ES,66.8
Durango HS,78.8
Earl (Ira) ES,74.6
Earl (Marion) ES,70.5
Early Childhood Program,*
East CTA,73.1
Edwards ES,75.3
Eisenberg ES,72
Eldorado HS,72.1
Elizondo ES,70.8
Ellis ES,72.3
Escobedo MS,68.5
Explore Knowledge ES,94.7
Explore Knowledge SEC,95.9
Faiss MS,72.1
Ferron ES,68.7
Fertitta MS,72.1
Findlay MS,72.6
Fine ES,74.7
Fitzgerald ES,65.8
Fong ES,70.4
Foothill HS,74.7
Forbuss ES,68.9
Fremont MS,71.3
French ES,69
Frias ES,69
Galloway ES,77.2
Garehime ES,74.2
Garrett JHS,65
Garside JHS,69.8
Gehring ES,71
Gibson (James) ES,72.4
Gibson (Robert) MS,69
Gilbert ES,69.9
Givens ES,66
Global Community High school,67
Goldfarb ES,74.6
Goodsprings ES,76.6
Goolsby ES,73.7
Goynes ES,65.7
