"","Average Daily Attendance"
"Schofield MS","68.1"
"Schorr ES","66.8"
"Scott ES","67.4"
"SDCC ES","75.9"
"SE CTA","71"
"SECTA PK","*"
"Sedway MS","63.1"
"Sewell ES","69.7"
"Shadow Ridge HS","71.3"
"Shirley A Barber Elementary","71.6"
"Sierra Vista HS","70.5"
"Silverado HS","74.1"
"Silvestri JHS","67.3"
"Simmons ES","71.6"
"Smalley ES","73.7"
"Smith (Hal) ES","70.8"
"Smith (Helen) ES","76.9"
"Smith (J.D.) MS","70.4"
"Snyder ES","63.1"
"Snyder ES","69.9"
"South Continuation Jr./Sr. Hig","63.3"
"Spring Mountain Jr/Sr HS","64.8"
"Spring Valley HS","75.4"
"Squires ES","70.8"
"St. Jude's Healing Center","*"
"Stanford ES","67.6"
"Staton ES","75.8"
"Steele ES","76.3"
"Stevens Elementary School","74.9"
"Stewart School","65.3"
"Stuckey ES","70.2"
"Summit View J/SHS","62.6"
"Sunrise Acres ES","71.7"
"Sunrise Mountain HS","71.5"
"SW CTA","71.2"
"Swainston MS","64.8"
"Tanaka ES","68.8"
"Tarkanian MS","67.3"
"Tarr ES","66.9"
"Tartan ES","71.2"
"Tate ES","70"
"Taylor (Glen) ES","69.2"
"Taylor (Robert) ES","73.1"
"Thiriot ES","71.9"
"Thomas ES","74.7"
"Thompson ES","77.5"
"Thompson, Tyrone ES","75.3"
"Thorpe ES","67.4"
"Tobler ES","74.5"
"Tomiyasu ES","67.7"
"Treem ES","71.7"
"Triggs ES","75.3"
"Twin Lakes ES","79.7"
"Twitchell ES","69.5"
"Ullom ES","74.7"
"Valley HS","71.1"
"Vanderburg ES","66.7"
"Variety ES","64.5"
"Variety SEC","*"
"Vassiliadis ES","76.2"
"Vegas Verdes ES","74.5"
"Virgin Valley ES","69.8"
"Virgin Valley HS","78.5"
"Von Tobel MS","69.8"
