"","Grade Level","Subjects","","","","","","","","",""
"","","Elementary","","Mathematics","","Science","","Social Studies","","English",""
"","","Long Term","Short Term","Long Term","Short Term","Long Term","Short Term","Long Term","Short Term","Long Term","Short Term"
"Lummis ES","PK-5","3","149","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Lundy ES","K-5","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Lunt ES","PK-5","13","184","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Lynch ES","PK-5","23","105","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Lyon MS","6-8","N/A","N/A","0","34","0","86","0","25","0","67"
"Mack (Jerome) MS","6-8","N/A","N/A","3","25","2","13","0","5","0","21"
"Mack (Nate) ES","PK-5","4","126","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Mackey ES","PK-5","4","99","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Mackey, Jo MS","06-08","N/A","N/A","0","2","2","5","1","1","0","0"
"Manch ES","PK-5","8","116","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Mannion MS","6-8","N/A","N/A","5","46","0","43","0","24","0","102"
"Martin MS","6-8","N/A","N/A","6","8","2","13","0","12","0","12"
"Martinez ES","PK-5","13","178","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Mathis ES","PK-05","3","345","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"May ES","PK-5","9","178","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"McCall ES","PK-5","3","169","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"McCaw ES","PK-5","2","241","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"McClure Corr Ctr","PK-PK","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"McDoniel ES","PK-5","6","185","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"McMillan ES","PreK-5","9","78","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"McWilliams ES","PK-5","7","85","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Mendoza ES","PK-5","11","223","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Miley Achievement Center ES","K-05","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Miley Achievement CenterSec","06-12","N/A","N/A","0","0","0","0","0","1","0","7"
"Miller (Bob) MS","6-8","N/A","N/A","2","42","0","72","1","44","1","140"
"Miller (John) School","Ungraded","0","0","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Miller (Sandy) ES","1-5","9","124","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Mission High School","06-12","N/A","N/A","0","1","0","0","0","1","0","5"
"Mitchell ES","PK-2","5","251","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Moapa Valley HS","9-12","N/A","N/A","0","30","0","8","0","23","0","34"
"Mojave HS","9-12","N/A","N/A","2","54","5","44","3","74","7","83"
"Molasky JHS","6-8","N/A","N/A","3","25","3","10","0","13","3","45"
"Monaco MS","6-8","N/A","N/A","0","4","1","3","2","3","2","12"
"Moore ES","PK-5","11","24","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Morris Sunset East HS","9-12","N/A","N/A","0","0","0","5","0","5","0","6"
"Morrow ES","PK-5","3","205","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Mountain View ES","PK-5","28","29","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Neal ES","PK-5","2","128","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"NECTA HS","09-12","N/A","N/A","0","23","0","22","0","27","0","43"
"Nevada Learning Academy","06-12","N/A","N/A","2","119","2","103","2","91","2","98"
"Newton ES","PK-5","6","282","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
