"100 Academy ES","2024","22"
"100 Academy ES","2023","75"
"Abston, Sandra B ES","2024","85"
"Abston, Sandra B ES","2023","93"
"Abston, Sandra B ES","2022","95"
"Adams ES","2024","99"
"Adams ES","2023","98"
"Adams ES","2022","95"
"Adcock ES","2024","90"
"Adcock ES","2023","98"
"Adcock ES","2022","98"
"Alamo ES","2024","98"
"Alamo ES","2023","98"
"Alamo ES","2022","98"
"Allen ES","2024","97"
"Allen ES","2023","98"
"Allen ES","2022","98"
"Antonello ES","2024","98"
"Antonello ES","2023","99"
"Antonello ES","2022","95"
"Bailey (Sister) ES","2024","87"
"Bailey (Sister) ES","2023","85"
"Bailey (Sister) ES","2022","75"
"Bartlett ES","2024","97"
"Bartlett ES","2023","98"
"Bartlett ES","2022","99"
"Bass ES","2024","97"
"Bass ES","2023","97"
"Bass ES","2022","95"
"Batterman ES","2024","99"
"Batterman ES","2023","99"
"Batterman ES","2022","98"
"Beatty ES","2024","98"
"Beatty ES","2023","97"
"Beatty ES","2022","95"
"Becker MS","2022","15"
"Beckley ES","2024","91.5"
"Beckley ES","2023","90"
"Beckley ES","2022","90"
"Bell ES","2024","81"
"Bell ES","2023","84"
"Bell ES","2022","93"
"Bendorf ES","2024","98"
"Bendorf ES","2023","100"
"Bendorf ES","2022","100"
"Bennett ES","2024","92"
"Bennett ES","2023","92"
"Bennett ES","2022","85"
"Berkley ES","2024","93"
"Berkley ES","2023","93"
"Berkley ES","2022","94"
"Bilbray ES","2024","97"
"Bilbray ES","2023","99"
"Bilbray ES","2022","99"
"Blackhurst ES","2024","99"
"Blackhurst ES","2023","99"
"Blackhurst ES","2022","99"
"Blue Diamond ES","2024","100"
"Blue Diamond ES","2023","100"
