"School Name","Stars"
"Bryan Roger ES","2"
"Cambeiro ES","1"
"Christensen ES","2"
"Cox C ES","2"
"Craig ES","1"
"Cunningham ES","1"
"Dearing ES","1"
"Desert Willow ES","NR"
"Diaz ES","1"
"Divich ES","3"
"Duncan ES","1"
"Edwards ES","1"
"Ellis ES","4"
"Fine ES","2"
"Forbuss ES","2"
"Galloway ES","1"
"Gene Ward ES","1"
"Givens ES","4"
"Goolsby ES","5"
"Gray ES","2"
"Hancock ES","1"
"Hayden ES","1"
"Heckethorn ES","4"
"Hewetson ES","1"
"Hinman ES","1"
"Hummel ES","1"
"Iverson ES","2"
"Jenkins ES","1"
"Jydstrup ES","3"
"Keller ES","2"
"Kim ES","1"
"Lake ES","1"
"Long ES","1"
"Lundy ES","NR"
"Mack ES","3"
"Martinez ES","2"
"McCall ES","2"
"McMillan ES","2"
"Miley Achvmt ES","NR"
"Mitchell ES","NR"
"Mountain View ES","1"
"NV LRN ACAD ES","1"
"ORoarke ES","4"
"Park ES","1"
"Perkins U ES","4"
"Pittman ES","3"
"Red Rock ES","2"
"Reid ES","NR"
"Roberts ES","1"
"Ronzone ES","1"
"Rundle ES","1"
"Schorr ES","2"
