"","Transiency Rate**"
"Ries ES","18.1"
"Roberts ES","30.1"
"Robison MS","27.2"
"Rogers ES","28.4"
"Rogich MS","12.9"
"Ronnow ES","21.6"
"Ronzone ES","33.6"
"Roundy ES","31.7"
"Rowe ES","33.1"
"Rundle ES","35.1"
"Sandy Valley ES","20.7"
"Sandy Valley Jr/Sr HS","15.3"
"Saville MS","23.1"
"Sawyer MS","28.7"
"Scherkenbach ES","18.6"
"Schofield MS","23.4"
"Schorr ES","17.7"
"Scott ES","30.8"
"SE CTA","2.1"
"SECTA PK","39.4"
"Sedway MS","32.5"
"Sewell ES","32"
"Shadow Ridge HS","18"
"Shirley A BarberElementary","27.5"
"Sierra Vista HS","19.2"
"Silverado HS","20.4"
"Silvestri JHS","29.8"
"Simmons ES","23.4"
"Smalley ES","10.8"
"Smith (Hal) ES","46.3"
"Smith (Helen) ES","23.6"
"Smith (J.D.) MS","29.4"
"Snyder ES","22.4"
"Snyder ES","36.5"
"South Continuation Jr./Sr.Hig","159.5"
"Spring Mountain Jr/Sr HS","105.8"
"Spring Valley HS","19.5"
"Squires ES","33.8"
"Stanford ES","29.2"
"Staton ES","14.4"
"Steele ES","17.6"
"Stevens ElementarySchool","33.3"
"Stewart School","18.5"
"Stuckey ES","17.1"
"Summit View J/SHS","114.6"
"Sunrise Acres ES","44.2"
"Sunrise Mountain HS","22.3"
"SW CTA","2.6"
"Swainston MS","31.8"
"Tanaka ES","24.1"
"Tarkanian MS","15.7"
"Tarr ES","6.3"
"Tartan ES","27.6"
"Tate ES","30.9"
"Taylor (Glen) ES","18.7"
"Taylor (Robert) ES","44.7"
"Thiriot ES","34.4"
"Thomas ES","70.1"
"Thompson ES","23.5"
"Thompson, Tyrone ES","14.7"
"Thorpe ES","37.8"
"Tobler ES","28.8"
"Tomiyasu ES","26.1"
