"100 AcademyES","-","-","0","<5","0","<5","0","<5","0","<5","0","<5","N/A","N/A","N/A","N/A","N/A","N/A"
"100 AcademyMS","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0","<5","0","<5","0","<5"
"Abston, SandraB ES","-","-","-","-","0","<5","0","<5","0","<5","0","<5","N/A","N/A","N/A","N/A","N/A","N/A"
"Adams ES","-","-","0","<5","0","<5","0","<5","0","<5","0","<5","N/A","N/A","N/A","N/A","N/A","N/A"
"Adcock ES","0","<5","0","<5","0","<5","0","<5","0","<5","0","<5","N/A","N/A","N/A","N/A","N/A","N/A"
"Alamo ES","0","<5","0","<5","0","<5","0","<5","0","<5","0","<5","N/A","N/A","N/A","N/A","N/A","N/A"
"Allen ES","0","<5","0","<5","0","<5","0","<5","0","<5","0","<5","N/A","N/A","N/A","N/A","N/A","N/A"
"Antonello ES","0","<5","-","-","0","<5","-","-","0","<5","0","<5","N/A","N/A","N/A","N/A","N/A","N/A"
"Bailey (Sister)ES","0","<5","0","<5","0","<5","0","<5","0","<5","0","<5","N/A","N/A","N/A","N/A","N/A","N/A"
"Bailey MS","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0","<5","0","<5","-","-"
"Bartlett ES","0","<5","0","<5","-","-","0","<5","0","<5","0","<5","N/A","N/A","N/A","N/A","N/A","N/A"
"Bass ES","0","<5","-","-","0","<5","0","<5","0","<5","0","<5","N/A","N/A","N/A","N/A","N/A","N/A"
"Batterman ES","0","<5","0","<5","0","<5","0","<5","0","<5","0","<5","N/A","N/A","N/A","N/A","N/A","N/A"
"Beatty ES","-","-","-","-","0","<5","0","<5","0","<5","0","<5","N/A","N/A","N/A","N/A","N/A","N/A"
"Becker MS","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","-","-","0","<5","0","<5"
"Beckley ES","0","<5","-","-","-","-","-","-","0","<5","0","<5","N/A","N/A","N/A","N/A","N/A","N/A"
"Bell ES","0","<5","0","<5","0","<5","0","<5","0","<5","0","<5","N/A","N/A","N/A","N/A","N/A","N/A"
"Bendorf ES","0","<5","0","<5","0","<5","-","-","0","<5","0","<5","N/A","N/A","N/A","N/A","N/A","N/A"
"Bennett ES","-","-","-","-","0","<5","0","<5","0","<5","0","<5","N/A","N/A","N/A","N/A","N/A","N/A"
