"","K","","1","","2","","3","","4","","5","","6","","7","","8",""
"","#","%","#","%","#","%","#","%","#","%","#","%","#","%","#","%","#","%"
"GoodspringsES","N/A","N/A","N/A","N/A","N/A","N/A","0","<5","0","<5","0","<5","N/A","N/A","N/A","N/A","N/A","N/A"
"Goolsby ES","-","-","0","<5","0","<5","0","<5","0","<5","0","<5","N/A","N/A","N/A","N/A","N/A","N/A"
"Goynes ES","0","<5","0","<5","0","<5","0","<5","0","<5","0","<5","N/A","N/A","N/A","N/A","N/A","N/A"
"Gragson ES","0","<5","0","<5","0","<5","0","<5","0","<5","0","<5","N/A","N/A","N/A","N/A","N/A","N/A"
"Gray ES","-","-","-","-","0","<5","-","-","0","<5","0","<5","N/A","N/A","N/A","N/A","N/A","N/A"
"GreenspunJHS","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0","<5","0","<5","-","-"
"Griffith ES","-","-","-","-","-","-","-","-","-","-","0","<5","N/A","N/A","N/A","N/A","N/A","N/A"
"Guinn MS","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0","<5","0","<5","23","7.2"
"Gunderson,Barry and JuneMS","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0","<5","0","<5","-","-"
"Guy ES","0","<5","0","<5","0","<5","0","<5","0","<5","0","<5","N/A","N/A","N/A","N/A","N/A","N/A"
"Hancock ES","-","-","-","-","-","-","-","-","0","<5","0","<5","N/A","N/A","N/A","N/A","N/A","N/A"
"Harmon ES","0","<5","-","-","0","<5","0","<5","-","-","0","<5","N/A","N/A","N/A","N/A","N/A","N/A"
"Harney MS","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0","<5","0","<5","-","-"
"Harris ES","-","-","0","<5","-","-","0","<5","0","<5","0","<5","N/A","N/A","N/A","N/A","N/A","N/A"
"Hayden ES","-","-","-","-","0","<5","0","<5","0","<5","0","<5","N/A","N/A","N/A","N/A","N/A","N/A"
"Hayes ES","0","<5","0","<5","0","<5","0","<5","0","<5","0","<5","N/A","N/A","N/A","N/A","N/A","N/A"
"HeardAcademy ES","0","<5","0","<5","0","<5","0","<5","0","<5","0","<5","N/A","N/A","N/A","N/A","N/A","N/A"
"Heckethorn ES","0","<5","0","<5","0","<5","0","<5","0","<5","0","<5","N/A","N/A","N/A","N/A","N/A","N/A"
"Herr ES","0","<5","0","<5","0","<5","0","<5","0","<5","0","<5","N/A","N/A","N/A","N/A","N/A","N/A"
"Herron ES","0","<5","-","-","-","-","0","<5","-","-","0","<5","N/A","N/A","N/A","N/A","N/A","N/A"
"Hewetson ES","0","<5","0","<5","0","<5","0","<5","-","-","0","<5","N/A","N/A","N/A","N/A","N/A","N/A"
"Hickey ES","-","-","0","<5","-","-","0","<5","0","<5","0","<5","N/A","N/A","N/A","N/A","N/A","N/A"
"Hill ES","0","<5","0","<5","0","<5","0","<5","0","<5","0","<5","N/A","N/A","N/A","N/A","N/A","N/A"
"Hinman ES","0","<5","0","<5","0","<5","0","<5","0","<5","0","<5","N/A","N/A","N/A","N/A","N/A","N/A"
"Hoggard ES","0","<5","0","<5","0","<5","0","<5","0","<5","0","<5","N/A","N/A","N/A","N/A","N/A","N/A"
"HollingsworthES","-","-","-","-","-","-","0","<5","-","-","0","<5","N/A","N/A","N/A","N/A","N/A","N/A"
"Hughes MS","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0","<5","0","<5","0","<5"
"Hummel ES","0","<5","-","-","0","<5","0","<5","0","<5","0","<5","N/A","N/A","N/A","N/A","N/A","N/A"
"Hyde Park MS","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0","<5","0","<5","0","<5"
"Indian SpringsES","0","<5","0","<5","0","<5","0","<5","0","<5","0","<5","N/A","N/A","N/A","N/A","N/A","N/A"
"Indian SpringsMS","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0","<5","0","<5","0","<5"
"InnovationsCharter SEC","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","-","-","-","-","-","-"
"InnovationsInternationalES","0","<5","0","<5","0","<5","0","<5","-","-","0","<5","N/A","N/A","N/A","N/A","N/A","N/A"
"Iverson ES","0","<5","0","<5","0","<5","0","<5","0","<5","0","<5","N/A","N/A","N/A","N/A","N/A","N/A"
"Jacobson ES","0","<5","-","-","0","<5","0","<5","-","-","0","<5","N/A","N/A","N/A","N/A","N/A","N/A"
"Jeffers ES","0","<5","0","<5","0","<5","0","<5","0","<5","0","<5","N/A","N/A","N/A","N/A","N/A","N/A"
"Jenkins, Earl NES","0","<5","0","<5","-","-","0","<5","0","<5","0","<5","N/A","N/A","N/A","N/A","N/A","N/A"
"Johnson JHS","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","-","-","-","-","-","-"
"Johnston MS","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0","<5","0","<5","-","-"
"JuvenileDetention 3-12","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0","<5"
"Jydstrup ES","-","-","-","-","-","-","0","<5","0","<5","0","<5","N/A","N/A","N/A","N/A","N/A","N/A"
"Kahre ES","0","<5","0","<5","0","<5","0","<5","0","<5","0","<5","N/A","N/A","N/A","N/A","N/A","N/A"
"Katz ES","-","-","-","-","-","-","0","<5","0","<5","0","<5","N/A","N/A","N/A","N/A","N/A","N/A"
"Keller ES","-","-","-","-","-","-","0","<5","0","<5","0","<5","N/A","N/A","N/A","N/A","N/A","N/A"
"Keller (Duane)MS","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0","<5","0","<5","0","<5"
