"","K","","1","","2","","3","","4","","5","","6","","7","","8",""
"","#","%","#","%","#","%","#","%","#","%","#","%","#","%","#","%","#","%"
"Tanaka ES","0","<5","0","<5","0","<5","0","<5","0","<5","0","<5","N/A","N/A","N/A","N/A","N/A","N/A"
"Tarkanian MS","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0","<5","0","<5","0","<5"
"Tarr ES","-","-","0","<5","0","<5","0","<5","0","<5","0","<5","N/A","N/A","N/A","N/A","N/A","N/A"
"Tartan ES","-","-","-","-","0","<5","-","-","-","-","0","<5","N/A","N/A","N/A","N/A","N/A","N/A"
"Tate ES","-","-","-","-","-","-","0","<5","0","<5","0","<5","N/A","N/A","N/A","N/A","N/A","N/A"
"Taylor (Glen)ES","-","-","-","-","-","-","0","<5","0","<5","0","<5","N/A","N/A","N/A","N/A","N/A","N/A"
"Taylor (Robert)ES","-","-","-","-","0","<5","0","<5","0","<5","0","<5","N/A","N/A","N/A","N/A","N/A","N/A"
"Thiriot ES","0","<5","-","-","-","-","0","<5","-","-","0","<5","N/A","N/A","N/A","N/A","N/A","N/A"
"Thomas ES","-","-","-","-","0","<5","0","<5","0","<5","0","<5","N/A","N/A","N/A","N/A","N/A","N/A"
"Thompson ES","-","-","0","<5","-","-","0","<5","0","<5","0","<5","N/A","N/A","N/A","N/A","N/A","N/A"
"Thompson,Tyrone ES","-","-","0","<5","-","-","-","-","-","-","0","<5","N/A","N/A","N/A","N/A","N/A","N/A"
"Thorpe ES","0","<5","0","<5","0","<5","0","<5","0","<5","0","<5","N/A","N/A","N/A","N/A","N/A","N/A"
"Tobler ES","0","<5","0","<5","-","-","0","<5","0","<5","0","<5","N/A","N/A","N/A","N/A","N/A","N/A"
"Tomiyasu ES","-","-","-","-","-","-","-","-","-","-","-","-","N/A","N/A","N/A","N/A","N/A","N/A"
"Treem ES","0","<5","0","<5","0","<5","0","<5","0","<5","0","<5","N/A","N/A","N/A","N/A","N/A","N/A"
"Triggs ES","0","<5","0","<5","0","<5","0","<5","0","<5","0","<5","N/A","N/A","N/A","N/A","N/A","N/A"
"Twin Lakes ES","-","-","-","-","0","<5","-","-","-","-","0","<5","N/A","N/A","N/A","N/A","N/A","N/A"
"Twitchell ES","0","<5","-","-","-","-","0","<5","0","<5","0","<5","N/A","N/A","N/A","N/A","N/A","N/A"
"Ullom ES","0","<5","0","<5","0","<5","0","<5","-","-","0","<5","N/A","N/A","N/A","N/A","N/A","N/A"
"Vanderburg ES","0","<5","-","-","0","<5","0","<5","-","-","0","<5","N/A","N/A","N/A","N/A","N/A","N/A"
"Variety ES","N/A","N/A","0","<5","0","<5","0","<5","0","<5","0","<5","N/A","N/A","N/A","N/A","N/A","N/A"
"Variety SEC","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0","<5","0","<5","0","<5"
