"","11","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","#","%","#EnglishLearners","%EnglishLearners","#FreeorReducedPricedLunchEligible","%FreeorReducedPricedLunchEligible","#IEP","%IEP","#AmIn/AKNative","%AmIn/AKNative","#Asian","%Asian","#Hispanic","%Hispanic","#Black","%Black","#White","%White","#PacificIslander","%PacificIslander","#TwoorMoreRaces","%TwoorMoreRaces","#Male","%Male","#Female","%Female","#Homeless","%Homeless","#Foster","%Foster","#MilitaryConnected","%MilitaryConnected"
"Chaparral HS","191","30.6","57","31.1","191","30.6","31","33.7","-","-","-","-","114","28.2","46","40","18","37.5","-","-","-","-","110","32.9","81","27.9","13","50","-","-","N/A","N/A"
"Cheyenne HS","166","30.3","35","38","166","30.3","21","28.4","-","-","-","-","96","31.8","44","31.4","14","31.8","-","-","-","-","97","33.1","68","26.8","-","-","0","<5","0","<5"
"Cimarron-MemorialHS","123","19.5","28","25.5","123","19.5","13","17.3","0","<5","0","<5","65","17.5","37","26.8","11","18.3","0","<5","10","31.3","69","20.4","54","18.4","-","-","-","-","0","<5"
"Clark HS","151","20.7","65","34.9","151","20.7","16","20.8","0","<5","-","-","114","26.3","25","28.4","-","-","0","<5","-","-","79","22.1","72","19.5","-","-","-","-","N/A","N/A"
"Coronado HS","118","14.6","11","40.7","118","14.6","-","-","0","<5","10","10.5","33","20.2","17","30.4","40","10.6","-","-","16","15.8","72","17.1","46","11.8","-","-","-","-","0","<5"
"Cowan BehaviorJr/Sr HS","13","59.1","-","-","13","59.1","-","-","N/A","N/A","-","-","-","-","-","-","N/A","N/A","N/A","N/A","-","-","-","-","-","-","0","<5","N/A","N/A","N/A","N/A"
"Cowan Sunset SEHS","-","-","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","-","-","N/A","N/A","N/A","N/A","N/A","N/A","-","-","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"CSNHS East","0","<5","0","<5","N/A","N/A","0","<5","N/A","N/A","0","<5","0","<5","0","<5","0","<5","0","<5","0","<5","0","<5","0","<5","0","<5","N/A","N/A","N/A","N/A"
"CSNHS South","0","<5","N/A","N/A","N/A","N/A","0","<5","N/A","N/A","0","<5","0","<5","0","<5","0","<5","N/A","N/A","0","<5","0","<5","0","<5","0","<5","N/A","N/A","0","<5"
"CSNHS West","0","<5","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0","<5","0","<5","0","<5","0","<5","0","<5","0","<5","0","<5","0","<5","0","<5","N/A","N/A","N/A","N/A"
"CTTA","10","25","-","-","10","25","-","-","N/A","N/A","N/A","N/A","-","-","0","<5","-","-","N/A","N/A","-","-","-","-","-","-","N/A","N/A","N/A","N/A","0","<5"
"Del Sol Academy","111","18.6","39","26.2","111","18.6","18","24","-","-","-","-","64","16.9","28","35.4","-","-","-","-","10","23.8","65","22.6","46","14.8","12","60","-","-","-","-"
