"100 Academy ES","92.1","N/A","-","90.4","92.6","-","-","93.4","-","91.8","92.1"
"100 Academy MS","93.1","-","-","94.1","92.3","-","N/A","-","-","93.6","93.1"
"A-TECH",">95","-",">95",">95",">95","94.7","-",">95",">95",">95",">95"
"Abston, Sandra BES","92.5","-","93.6","92.3","91.8","92.7","89.5","93.7","90.6","91.2","92.5"
"AccelerationAcademy",">95",">95",">95",">95",">95",">95",">95",">95",">95",">95",">95"
"Adams ES","92.8","N/A",">95","92.5","93.0","93.8","-","94.6","92.6","93.6","92.8"
"Adcock ES","91.2","-","-","90.9","92.1","91.3","-","92.3","91.0","91.3","91.2"
"Adult Ed","-","N/A","N/A","-","-","N/A","N/A","N/A","N/A","-","N/A"
"Alamo ES","93.7","-",">95","92.3","94.6","94.4","90.0","92.6","91.9",">95","93.7"
"Allen ES","93.0","-","95.0","93.2","91.2","92.9","-","93.7","92.0","95.0","93.0"
"Antonello ES","92.1","N/A","-","91.9","92.6","93.0","-","91.1","91.5","92.9","92.1"
"Arbor View HS","93.3","94.5",">95","92.9","92.8","93.1","93.9","93.8","92.4","93.2","93.3"
"Bailey (Sister) ES","91.1","-","94.3","91.3","90.7","90.4","-","89.7","90.8","92.6","91.1"
"Bailey MS","89.6","-","93.6","90.2","88.4","88.4","89.9","88.4","89.3","90.2","89.6"
"Bartlett ES","93.8","N/A","95.0","92.8","92.0","94.3",">95",">95","93.0","94.1","93.8"
"Basic HS","89.9","90.3","92.4","89.4","88.1","91.3","89.4","89.9","89.0","89.6","89.9"
"Bass ES","93.9","-",">95","93.7","93.8","94.2","89.9","93.3","92.9",">95","93.9"
"Batterman ES","94.3","-",">95","93.1","94.7","94.2","-","94.4","93.3","94.4","94.3"
"Beatty ES","92.2","-","92.8","92.0","91.4","93.6","87.9","92.2","91.5","92.9","92.2"
"Becker MS",">95","-",">95",">95","94.3",">95","94.4",">95",">95",">95",">95"
"Beckley ES","91.3","-","94.4","91.8","89.8","88.9","91.0","88.6","90.8","93.2","91.3"
"Bell ES","91.2","-","94.4","91.8","89.8","91.9","-","89.9","89.7","93.4","91.2"
"Bendorf ES","91.7","-",">95","90.1","92.6","92.1","93.4","88.7","86.7","93.3","91.7"
"Bennett ES","90.9","-","-","90.9","88.9","91.1","-","92.8","89.1","91.2","90.9"
