"","All Schools","Kindergarten","1st Grade","2nd Grade","3rd Grade","4th Grade","5th Grade","6th Grade","7th Grade","8th Grade"
"West Prep Sec","17:1","N/A","N/A","N/A","N/A","N/A","N/A","17:1","N/A","N/A"
"White MS","20:1","N/A","N/A","N/A","N/A","N/A","N/A","20:1","N/A","N/A"
"Whitney ES","17:1","12:1","14:1","13:1","16:1","20:1","52:1","N/A","N/A","N/A"
"Wiener ES","19:1","14:1","20:1","20:1","17:1","20:1","25:1","N/A","N/A","N/A"
"Wilhelm ES","20:1","19:1","21:1","17:1","19:1","19:1","27:1","N/A","N/A","N/A"
"Williams (Tom)ES","21:1","18:1","15:1","21:1","18:1","27:1","32:1","N/A","N/A","N/A"
"Williams(Wendell) ES","17:1","13:1","18:1","18:1","15:1","22:1","18:1","N/A","N/A","N/A"
"Wolfe (Eva) ES","22:1","20:1","18:1","20:1","24:1","27:1","36:1","N/A","N/A","N/A"
"Wolff (Elise) ES","22:1","21:1","22:1","24:1","21:1","23:1","23:1","N/A","N/A","N/A"
"Woodbury MS","22:1","N/A","N/A","N/A","N/A","N/A","N/A","22:1","N/A","N/A"
"Woolley ES","20:1","18:1","15:1","17:1","18:1","32:1","24:1","N/A","N/A","N/A"
"Wright ES","19:1","26:1","15:1","18:1","18:1","20:1","24:1","N/A","N/A","N/A"
"Wynn ES","19:1","14:1","19:1","18:1","18:1","23:1","25:1","N/A","N/A","N/A"
