"100 Academy MS","13","10","22","22"
"A-TECH","21","23","24","21"
"Acceleration Academy","31","11","33","32"
"Arbor View HS","23","24","22","21"
"Bailey MS","15","17","25","31"
"Basic HS","22","21","23","23"
"Becker MS","24","25","33","34"
"Bonanza HS","20","21","22","20"
"Boulder City HS","15","15","16","13"
"Bridger MS","10","21","19","26"
"Brinley MS","20","18","28","30"
"Brown JHS","16","17","17","20"
"Burk Horizon SW HS","1","1","1","1"
"Burkholder MS","13","16","23","24"
"Cadwallader MS","32","32","31","34"
"Canarelli MS","26","24","28","25"
"Cannon JHS","10","19","23","24"
"Canyon Springs HS","16","17","21","14"
"Cashman MS","25","25","30","29"
"CC Detention","3","4","6","3"
"Centennial HS","26","24","27","15"
"Chaparral HS","19","18","21","17"
"Cheyenne HS","18","24","22","19"
"Cimarron-Memorial HS","19","20","26","20"
"Clark HS","16","16","17","18"
"Coronado HS","26","25","25","25"
"Cortney JHS","17","20","20","21"
"Cowan Behavior Jr/SrHS","3","3","5","4"
"Cowan Sunset SE HS","1","1","1","1"
"Cram MS","27","23","22","26"
