"","English","Mathematics","Science","Social Studies"
"CSNHS East","18","15","0","17"
"CSNHS South","14","11","0","14"
"CSNHS West","20","25","0","19"
"CTTA","9","8","4","8"
"Del Sol Academy","17","22","27","20"
"Delta Academy","13","13","16","13"
"Desert Oasis HS","23","21","23","21"
"Desert Pines HS","19","18","19","16"
"Desert Rose HS","7","4","7","8"
"Desert WillowSecondary","2","2","2","2"
"Durango HS","23","24","26","24"
"East CTA","22","23","22","22"
"Eldorado HS","21","22","22","18"
"Escobedo MS","27","30","36","36"
"Explore KnowledgeSEC","7","9","13","11"
"Faiss MS","31","32","25","34"
"Fertitta MS","13","23","27","32"
"Findlay MS","14","23","28","29"
"Foothill HS","17","18","17","16"
"Fremont MS","13","18","24","27"
"Garrett JHS","23","18","22","24"
"Garside JHS","13","15","19","18"
"Gibson (Robert) MS","13","18","23","27"
"Global Community Highschool","7","10","15","16"
"Green Valley HS","20","21","21","17"
"Greenspun JHS","13","21","22","33"
"Guinn MS","28","28","35","27"
"Gunderson, Barry andJune MS","29","28","36","36"
"Harney MS","26","18","25","24"
"Hughes MS","13","13","15","30"
"Hyde Park MS","24","28","25","26"
"Indian Springs HS","12","8","7","12"
"Indian Springs MS","7","6","9","16"
"Innovations CharterSEC","16","17","15","16"
"Johnson JHS","17","17","24","26"
"Johnston MS","26","31","29","26"
"Juvenile Detention 3-12","9","6","9","9"
"Keller (Duane) MS","20","13","25","23"
"Knudson MS","19","18","21","17"
"Las Vegas Academy","27","26","27","21"
"Las Vegas HS","19","19","22","18"
"Laughlin Jr/Sr HS","9","10","13","12"
"Lawrence JHS","8","20","27","26"
"Leavitt MS","24","29","29","29"
"Legacy HS","20","19","21","18"
"Liberty HS","25","25","24","20"
"Lied MS","25","27","26","31"
"Lyon MS","19","17","12","26"
"Mack (Jerome) MS","12","11","25","27"
"Mackey, Jo MS","11","14","19","27"
"Mannion MS","16","23","27","25"
"Martin MS","14","21","31","28"
"Miley AchievementCenter Sec","0","1","0","0"
"Miller (Bob) MS","25","25","27","29"
"Miller (John) School","N/A","N/A","N/A","N/A"
"Mission High School","3","3","2","7"
"Moapa Valley HS","27","19","28","25"
"Mojave HS","16","20","24","18"
"Molasky JHS","19","19","25","26"
"Monaco MS","13","21","24","20"
