"100 AcademyMS","7.69","9.38","NA","NA","NA","NA","NA"
"A-TECH","<5","NA","<5","<5","<5","<5","<5"
"AccelerationAcademy","16.59","NA","25.00","14.52","19.73","15.91","16.59"
"Arbor ViewHS","<5","NA","<5","<5","<5","<5","<5"
"Bailey MS","<5","<5","NA","NA","NA","NA","NA"
"Basic HS","<5","NA","<5","<5","6.06","<5","<5"
"Becker MS","<5","<5","NA","NA","NA","NA","NA"
"Bonanza HS","<5","NA","<5","<5","<5","<5","<5"
"Boulder CityHS","<5","NA","<5","<5","6.63","<5","<5"
"Bridger MS","<5","<5","NA","NA","NA","NA","NA"
"Brinley MS","<5","<5","NA","NA","NA","NA","NA"
"Brown JHS","<5","<5","NA","NA","NA","NA","NA"
"Burk HorizonSW HS","12.12","NA","NA","<5","NA","12.31","12.12"
"BurkholderMS","<5","<5","NA","NA","NA","NA","NA"
"CadwalladerMS","<5","<5","NA","NA","NA","NA","NA"
"Canarelli MS","<5","<5","NA","NA","NA","NA","NA"
"Cannon JHS","<5","<5","NA","NA","NA","NA","NA"
"CanyonSprings HS","<5","NA","<5","<5","5.20","<5","<5"
"Cashman MS","<5","<5","NA","NA","NA","NA","NA"
"CC Detention","17.86","NA","<5","<5","60.00","10.00","17.86"
"CentennialHS","<5","NA","<5","<5","<5","<5","<5"
"Chaparral HS","<5","NA","<5","<5","5.91","<5","<5"
"Cheyenne HS","<5","NA","<5","<5","<5","<5","<5"
"Cimarron-Memorial HS","<5","NA","<5","<5","<5","<5","<5"
"Clark HS","<5","NA","<5","<5","<5","<5","<5"
"Coronado HS","<5","NA","<5","<5","<5","<5","<5"
"Cortney JHS","<5","<5","NA","NA","NA","NA","NA"
"CowanBehaviorJr/Sr HS","7.50","10.00","<5","9.09","6.25","<5","<5"
"CowanSunset SE HS","20.83","NA","<5","<5","37.50","33.33","20.83"
"Cram MS","<5","<5","NA","NA","NA","NA","NA"
"CSNHS East","<5","NA","NA","NA","<5","<5","<5"
