"","Total %","Grade 8 %","Grade 9 %","Grade 10 %","Grade 11 %","Grade 12 %","Grade 9-12 %"
"CSNHS South","<5","NA","NA","NA","<5","<5","<5"
"CSNHS West","<5","NA","NA","NA","<5","<5","<5"
"CTTA","<5","NA","NA","NA","<5","NA","<5"
"Del SolAcademy","<5","NA","<5","<5","<5","<5","<5"
"DeltaAcademy","<5","<5","<5","<5","<5","8.15","5.31"
"Desert OasisHS","<5","NA","<5","<5","<5","<5","<5"
"Desert PinesHS","<5","NA","<5","5.41","5.47","<5","<5"
"Desert RoseHS","17.95","NA","NA","NA","14.29","18.45","17.95"
"Desert WillowSecondary","<5","<5","<5","<5","<5","<5","<5"
"Durango HS","<5","NA","<5","<5","<5","<5","<5"
"East CTA","<5","NA","<5","<5","<5","<5","<5"
"Eldorado HS","<5","NA","<5","<5","<5","<5","<5"
"Escobedo MS","<5","<5","NA","NA","NA","NA","NA"
"ExploreKnowledgeSEC","<5","<5","<5","<5","<5","<5","<5"
"Faiss MS","<5","<5","NA","NA","NA","NA","NA"
"Fertitta MS","<5","<5","NA","NA","NA","NA","NA"
"Findlay MS","<5","<5","NA","NA","NA","NA","NA"
"Foothill HS","<5","NA","<5","<5","<5","<5","<5"
"Fremont MS","<5","<5","NA","NA","NA","NA","NA"
"Garrett JHS","<5","<5","NA","NA","NA","NA","NA"
"Garside JHS","<5","<5","NA","NA","NA","NA","NA"
"Gibson(Robert) MS","<5","<5","NA","NA","NA","NA","NA"
"GlobalCommunityHigh school","5.08","NA","5.71","<5","7.14","<5","5.08"
"Green ValleyHS","<5","NA","<5","<5","<5","<5","<5"
"GreenspunJHS","<5","<5","NA","NA","NA","NA","NA"
"Guinn MS","<5","<5","NA","NA","NA","NA","NA"
"Gunderson,Barry andJune MS","<5","<5","NA","NA","NA","NA","NA"
"Harney MS","<5","<5","NA","NA","NA","NA","NA"
"Hughes MS","<5","<5","NA","NA","NA","NA","NA"
"Hyde Park MS","<5","<5","NA","NA","NA","NA","NA"
"IndianSprings HS","<5","NA","<5","<5","<5","<5","<5"
