"AccelerationAcademy","31.82","19.92","-","41.67","22.31","24.29","24.49","29.41","36.04","26.57"
"AdvancedTechnologiesAcademy",">95",">95","N/A",">95",">95",">95",">95","-",">95",">95"
"Arbor View HighSchool",">95","93.85","-",">95",">95","94.98",">95","-",">95",">95"
"Basic High School",">95","90.75","-",">95","90.12","90.37","90.38","93.75",">95","92.91"
"Bonanza HighSchool","85.78","80.29","-",">95","71.05","84.29","72","-","87.18","82.68"
"Boulder City HighSchool","91.67","77.03","-","-","-","92.31","-","N/A","82.57","84.25"
"Burk HorizonSouthwest HS","-","-","N/A","N/A","-","-","-","N/A","-","-"
"Canyon SpringsHigh School andthe Leadership andLaw PreparatoryAcademy","91.87","81.95","-","-","90","85.42","93.75","-","89.47","86.96"
"Centennial HighSchool","93.69","89.02","N/A","92.31","89.06","89.95",">95","-","91.59","91.05"
"Chaparral HighSchool","83.59","72.15","-","82.35","68.97","81.98","76.19","60","52.38","77.31"
"Cheyenne HighSchool","79.46","76.81","-",">95","76.19","78.3","91.67","-","73.17","78.03"
"Cimarron-MemorialHigh School","92.44","89.83","-","91.3","88.39","93.31","85.37","-","87.36","91.02"
"Clark AdultProgram","<5","<5","<5","<5","<5","<5","<5","<5","<5","<5"
"Clark CountyDetention Center","N/A","<5","N/A","-","<5","<5","-","-","-","<5"
"College ofSouthern NevadaHigh School East",">95",">95","N/A","-","-",">95","-","N/A","-",">95"
"College ofSouthern NevadaHigh School South",">95",">95","-","-","-",">95","-","N/A",">95",">95"
"College ofSouthern NevadaHigh School West",">95",">95","N/A",">95","-",">95",">95","N/A",">95",">95"
"Coronado HighSchool","90.93","92.08","-","94.55","94.87","88.89","89.61","93.33","91.69","91.49"
"Cowan BehaviorJr/Sr High School","-","N/A","N/A","N/A","-","N/A","N/A","N/A","N/A","-"
"Cowan SunsetSoutheast HighSchool","-","50","N/A","-","-","-","N/A","N/A","-","46.67"
