"","All Students","Am In/ AKNative","Asian","Hispanic","Black","White","PacificIslander","Two or MoreRaces","IEP","EL","FRL"
"Berkley ES","92.9","N/A",">95","91.4","92.1","94.3","92.5","91.8","90.6","93.4","92.9"
"Bilbray ES","93.4","N/A",">95","93.1","92.0","93.8","-","93.4","91.0","92.5","93.4"
"Blackhurst ES","94.4","-",">95","93.3","94.1","94.9","91.7","95.0","93.7","93.3","94.4"
"Blue Diamond ES","93.1","N/A","-","-","-","92.1","-","-","-","N/A","93.1"
"Bonanza HS","90.0","-","90.1","90.1","89.5","90.8","88.2","88.0","90.8","90.2","90.0"
"Bonner ES",">95","-",">95","94.9","94.5",">95","91.2",">95","94.4",">95",">95"
"Booker ES","91.1","N/A","-","91.3","90.4","89.1","-","93.7","90.5","92.1","91.1"
"Boulder City HS","94.1","-","93.9","94.8","93.4","94.0","-","94.1","94.2","-","94.1"
"Bowler (Grant)ES","93.4","-","-","92.7","-","93.7","-","91.9","93.0","-","93.4"
"Bowler (Joseph)ES","92.1","-","-","92.5","-","91.4","-","93.0","90.7","92.9","92.1"
"Bozarth ES","94.0","-",">95","92.9","92.6","95.0","94.7","93.9","93.6","91.9","94.0"
"Bracken ES",">95","N/A",">95",">95",">95",">95","-",">95",">95",">95",">95"
"Bridger MS","91.9","-","-","92.1","89.9","93.5","-","93.3","90.6","90.9","91.9"
"Brinley MS","91.1","-",">95","91.8","89.0","89.3","-","92.1","90.2","92.1","91.1"
"Brookman ES","93.2","-","94.6","93.2","89.4","93.9","94.6","93.3","92.1","93.9","93.2"
"Brown JHS","91.2","-","94.8","91.8","89.4","91.6","90.0","90.1","89.8","93.2","91.2"
"Brown, HannahMarie ES","94.6","-",">95","93.7","94.3",">95","92.4",">95","94.5","94.8","94.6"
"Bruner ES","91.2","-","92.3","91.7","90.6","93.4","-","88.7","89.5","92.0","91.2"
"Bryan (Richard)ES","93.0","-","92.0","92.7","90.4","94.1","-","94.0","92.0","93.9","93.0"
"Bryan (Roger) ES","92.1","-","94.5","91.3","92.8","91.2","90.8","90.7","89.0","94.1","92.1"
"Bunker ES","91.1","-","-","92.0","89.0","91.9","-","89.1","90.6","93.1","91.1"
"Burk Horizon SWHS","88.5","N/A","N/A","88.9","-","-","N/A","-","N/A","79.8","N/A"
"Burkholder MS","91.1","-","-","90.5","90.2","91.3","92.8","93.1","90.2","89.8","91.1"
