"","Female","Male","Am In/AKNative","Asian","Black","Hispanic","Two orMoreRaces","PacificIslander","White","Total"
"","GraduationRate","GraduationRate","GraduationRate","GraduationRate","GraduationRate","GraduationRate","GraduationRate","GraduationRate","GraduationRate","GraduationRate"
"Legacy HighSchool","86.51","80.79","-","93.33","82.65","83.67","80.95","83.33","82.35","83.36"
"Liberty HighSchool","93.99","92.21","-",">95","87.63","93.72","92.05","94.55","93.33","93.05"
"Miley AchievementCenter Sec","-","-","N/A","N/A","-","-","N/A","N/A","-","27.27"
"Mission HighSchool","-","-","N/A","N/A","N/A","-","N/A","N/A","-","-"
"Moapa ValleyInnovative HighSchool",">95",">95","-","N/A","-",">95","-","N/A",">95",">95"
"Mojave HighSchool","91.75","82.43","N/A","92.31","82.82","88.44","92","-","82.05","86.92"
"Morris Sunset EastHigh School","83.87","86.11","N/A","-",">95","81.08","-","-","80","85.07"
"Nevada LearningAcademy at CCSD","68.15","54.27","-","62.5","57.65","65.75","56.1","70","61.79","62.13"
"Northwest Careerand TechnicalAcademy",">95",">95","-",">95",">95",">95",">95","-",">95",">95"
"Odyssey CharterHigh School","94.14","91.85","-","91.3",">95","90.91","95","-","94.29","93.2"
"Palo Verde HighSchool",">95",">95","-",">95",">95","91.98",">95","93.33",">95",">95"
"Peterson BehaviorJr./Sr. High School","-","12.5","N/A","N/A","15.38","-","-","N/A","-","22.73"
"Rancho HighSchool",">95","91.5","-",">95","88.06","93.7","90.91","-",">95","93.71"
"Sandy Valley Jr/SrHigh School",">95","-","N/A","N/A","-","-","-","-","-","94.74"
"Shadow RidgeHigh School","94.48","91.96","-",">95","90.32","89.95",">95","87.5","94.95","93.17"
"Sierra Vista HighSchool",">95","92.29","-",">95","90.91","92.67",">95",">95","93.62","94.05"
"Silverado CollegePreparatory andCareer/TechnicalHigh School","94.47","91.81","N/A","94","93.33","93.14",">95","80","93.02","93.07"
"South ContinuationJr./Sr. High School","-","9.09","N/A","-","-","-","N/A","N/A","-","7.14"
"Southeast Careerand TechnicalAcademy",">95",">95","N/A",">95",">95",">95",">95","-",">95",">95"
"Southwest Careerand TechnicalAcademy",">95",">95","N/A",">95",">95",">95",">95","-",">95",">95"
"Spring MountainJr/Sr High School","N/A","<5","N/A","N/A","-","-","-","N/A","-","<5"
"Spring Valley HighSchool","92.88","94.14","-",">95","93.91","94.21","91.67","90.91","91.75","93.52"
"Summit ViewJ/SHS","N/A","<5","-","N/A","-","-","-","-","-","<5"
