"Group","Graduating Classof","Completion Indicators - Graduates","","","","","CompletionIndicators - Non-Graduates"
"","","# Adult Diploma","# AdvancedDiploma","# AlternativeDiploma","# College andCareer ReadyDiploma","# StandardDiploma","# AdjustedDiploma"
"Spring ValleyHigh School","2022-2023","-","72","-","135","298","-"
"Summit ViewJ/SHS","2022-2023","-","-","-","-","-","-"
"SunriseMountainHigh School","2022-2023","-","13","-","70","353","-"
"Valley HSInternationalBaccalaureateand Academyof Hospitalityand Tourism","2022-2023","-","92","-","21","365","-"
"Variety JR/SRHS","2022-2023","-","-","-","-","-","-"
"VeteransTributeCareer andTechnicalAcademy","2022-2023","-","13","-","135","45","-"
"Virgin ValleyHigh School","2022-2023","-","59","-","13","97","-"
"West Careerand TechnicalAcademy","2022-2023","-","-","-","279","46","-"
"WestPreparatoryAcademy atCharles I.West Hall","2022-2023","-","10","-","27","34","-"
"Western HighSchool","2022-2023","-","16","-","93","435","-"
