"100 Academyof Excellence","38","45","14","4","79","20","2","0","N/A","N/A","N/A","N/A"
"100 Academyof ExcellenceES","65","21","10","4","53","36","10","0","N/A","N/A","N/A","N/A"
"Abston, SandraB ES","27","22","28","22","30","27","21","23","N/A","N/A","N/A","N/A"
"Addeliar D.Guy IIIElementarySchool","48","26","17","8","51","28","14","7","N/A","N/A","N/A","N/A"
"Aggie RobertsElementarySchool","42","24","22","12","53","24","14","9","N/A","N/A","N/A","N/A"
"AldeaneComito RiesElementary","27","19","27","27","26","23","30","20","N/A","N/A","N/A","N/A"
"Ann T. LynchElementarySchool","72","13","12","3","74","14","8","4","N/A","N/A","N/A","N/A"
"AnthonySaville MiddleSchool","32","27","30","11","45","26","16","13","N/A","N/A","N/A","N/A"
"ArturoCambeiroElementarySchool","52","20","20","9","60","24","12","4","N/A","N/A","N/A","N/A"
"B. MahlonBrown JuniorHigh School","40","26","25","10","57","24","13","6","N/A","N/A","N/A","N/A"
