"CRT","Reading","","","","Mathematics","","","","Science","","",""
"","ED","AS","MS","ES","ED","AS","MS","ES","ED","AS","MS","ES"
"Don E. HaydenElementarySchool","58","16","16","10","55","28","11","7","N/A","N/A","N/A","N/A"
"Doris FrenchElementarySchool","42","20","18","20","51","23","19","8","N/A","N/A","N/A","N/A"
"Doris HancockElementarySchool","51","23","17","10","55","20","18","7","N/A","N/A","N/A","N/A"
"Doris M. ReedElementarySchool","50","21","19","10","47","27","16","10","N/A","N/A","N/A","N/A"
"DorothyEisenbergElementarySchool","35","23","24","18","36","25","20","19","N/A","N/A","N/A","N/A"
"Dr. Beverly S.MathisElementarySchool","24","22","29","26","20","24","24","31","N/A","N/A","N/A","N/A"
"Dr. C. OwenRoundyElementarySchool","65","16","13","6","60","21","12","7","N/A","N/A","N/A","N/A"
"Dr. Claude G.PerkinsElementarySchool","50","24","17","9","57","22","15","7","N/A","N/A","N/A","N/A"
"Dr. William H.(Bob) BaileyMiddle School","65","21","13","2","78","15","6","1","N/A","N/A","N/A","N/A"
"Duane D. KellerMiddle School","59","22","15","4","71","21","7","1","N/A","N/A","N/A","N/A"
"E. W. GriffithElementarySchool","56","22","14","8","47","34","13","6","N/A","N/A","N/A","N/A"
"Ed Von TobelMiddle School","62","21","15","2","74","19","6","1","N/A","N/A","N/A","N/A"
