"","All Students","Am In/ AKNative","Asian","Hispanic","Black","White","PacificIslander","Two or MoreRaces","IEP","EL","FRL"
"Lake ES","92.0","N/A",">95","91.9","91.0","93.2","-","92.0","89.1","91.7","92.0"
"Lamping ES","93.6","N/A","94.7","92.5","94.3","94.0","-","94.1","91.6","94.6","93.6"
"Las VegasAcademy",">95","94.8",">95","94.9",">95","95.0",">95",">95","92.4","94.1",">95"
"Las Vegas HS","88.5","-","92.5","88.0","89.1","90.2","90.5","89.6","87.4","87.0","88.5"
"Laughlin Jr/Sr HS","91.0","N/A","-","90.1","88.4","92.2","-","92.4","90.2","90.3","91.0"
"Lawrence JHS","92.1","-",">95","91.8","92.1","91.6","86.7","91.0","91.2","93.1","92.1"
"Leavitt MS","93.1","-",">95","92.7","92.3","93.4","93.0","93.5","92.6","92.5","93.1"
"Legacy HS","89.2","-","93.2","89.5","87.7","91.1","82.8","90.6","87.8","90.2","89.2"
"Liberty HS","93.1","87.4",">95","92.1","92.2","94.1","92.7","93.0","91.9","93.6","93.1"
"Lied MS","95.0","-",">95","94.6","95.0",">95",">95","94.7","94.5",">95","95.0"
"Lincoln ES","92.6","-","-","92.7","89.7","94.0","-","92.3","91.7","93.5","92.6"
"Long ES","91.4","-","92.2","91.8","89.7","91.5","-","88.5","91.9","92.4","91.4"
"Lowman ES","89.4","-","90.2","90.1","88.9","89.4","-","87.9","89.3","91.0","89.4"
"Lummis ES","93.5","N/A",">95","92.9","90.6","93.7","-","94.3","92.0","94.2","93.5"
"Lundy ES","*","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Lunt ES","91.5","-","-","91.9","91.4","-","-","-","89.7","92.1","91.5"
"Lynch ES","90.4","-","-","90.7","89.1","93.7","N/A","90.4","90.9","91.3","90.4"
"Lyon MS","92.7","89.7","N/A","90.8","-","93.3","N/A","92.7","89.9","-","92.7"
"Mack (Jerome)MS","91.2","-",">95","91.2","90.1","90.1","-","92.1","89.2","91.9","91.2"
"Mack (Nate) ES","93.6","-",">95","93.2","93.9","93.9","-","93.3","91.7","91.0","93.6"
"Mackey ES","94.8","-",">95","94.6","94.8",">95","-","93.4","94.7",">95","94.8"
"Mackey, Jo MS","94.6","N/A",">95","94.5","94.6","93.7","-",">95","94.3","94.7","94.6"
"Manch ES","87.8","-","-","89.1","85.7","87.3","-","88.7","86.6","90.3","87.8"
"Mannion MS","94.2","-",">95","93.2","92.9","94.6",">95","94.5","93.9","92.1","94.2"
"Martin MS","91.0","-","91.0","91.5","89.0","92.1","-","89.4","88.1","90.5","91.0"
"Martinez ES","92.6","-","N/A","93.5","91.3","-","-","90.4","90.4","94.2","92.6"
"Mathis ES","93.3","-","94.9","92.6","94.1","93.0","94.6","91.9","93.2","94.7","93.3"
"May ES","93.0","N/A","93.8","92.8","93.2","93.6","89.7","92.2","92.4","93.3","93.0"
"McCall ES","90.3","N/A","N/A","90.2","90.4","-","N/A","90.5","89.4","90.5","90.3"
"McCaw ES","94.5","-",">95","94.3",">95","94.7","-","92.9","92.8",">95","94.5"
"McDoniel ES","94.6","-",">95","94.2","92.9",">95","-","94.8","94.4","94.8","94.6"
"McMillan ES","91.2","-","93.6","92.1","90.4","90.1","-","90.7","90.5","91.9","91.2"
"McWilliams ES","92.4","N/A","-","93.0","89.4","92.0","-","87.1","90.8","93.3","92.4"
"Mendoza ES","92.5","-","87.9","92.5","92.8","93.2","-","92.8","90.6","93.0","92.5"
"MileyAchievementCenter ES","89.9","N/A","N/A","-","-","-","N/A","-","89.9","N/A","89.9"
"MileyAchievementCenter Sec","75.9","N/A","N/A","-","76.0","79.9","N/A","63.5","75.9","N/A","75.9"
"Miller (Bob) MS","94.0","-",">95","93.5","93.3","93.8","93.9","93.7","91.1","92.4","94.0"
"Miller (John)School","83.5","N/A","-","83.3","82.6","82.4","-","-","83.5","89.3","83.5"
"Miller (Sandy) ES","94.6","N/A",">95","94.7","93.2","94.7","-","92.9","94.0",">95","94.6"
"Mission HighSchool","90.6","N/A","N/A","90.4","N/A","-","N/A","-","N/A","-","90.6"
"Mitchell ES","93.2","N/A","-","93.6","-","93.0","-","93.9","93.0","-","93.2"
"Moapa Valley HS","91.1","86.8","-","90.0","-","91.5","-","89.6","87.0","93.5","91.1"
"Mojave HS","87.7","-","93.2","87.5","86.5","89.9","89.4","88.0","88.1","87.8","87.7"
"Molasky JHS","91.5","-","94.6","91.4","90.6","91.7","93.7","92.5","89.8","92.4","91.5"
"Monaco MS","90.7","-","-","91.1","89.0","89.9","-","88.8","89.4","90.9","90.7"
"Moore ES","90.5","-","-","90.8","89.2","89.4","-","-","89.0","92.0","90.5"
"Morris SunsetEast HS","90.1","N/A","N/A","88.8","-","-","N/A","-","-","-","N/A"
"Morrow ES","92.3","-","-","91.7","90.8","93.1","-","92.0","90.5","92.7","92.3"
"Mountain ViewES","90.4","-","-","90.9","90.4","86.8","N/A","90.0","89.0","92.0","90.4"
"Neal ES","92.8","-","94.4","92.2","92.0","93.6","91.7","93.7","92.4","91.6","92.8"
"NECTA HS","95.0","N/A",">95","94.8","94.9",">95","93.3",">95",">95",">95","95.0"
"Nevada LearningAcademy","85.6","85.3","90.1","84.1","84.0","88.4","84.2","88.5","85.0","83.1","N/A"
"Newton ES","93.1","-",">95","92.4","91.6","93.6","-","93.3","91.6","90.2","93.1"
"NV LearningAcademy ES","91.9","-",">95","91.6","90.4","92.7","89.6","92.7","89.9","91.2","N/A"
"NW CTA",">95","-",">95","94.9",">95",">95",">95",">95","95.0","95.0",">95"
