"100 Academy ES","N/A","N/A","N/A","N/A","N/A","N/A","N/A","H"
"100 Academy MS","N/A","N/A","N/A","N/A","N/A","N/A","N/A","H"
"A-TECH","N/A","N/A","N/A","N/A","N/A","N/A","N/A","H"
"Abston, Sandra BES","N/A","N/A","N/A","N/A","N/A","N/A","N/A",""
"AccelerationAcademy","N/A","N/A","N/A","N/A","N/A","N/A","N/A",""
"Adams ES","N/A","N/A","N/A","N/A","N/A","N/A","N/A",""
"Adcock ES","N/A","N/A","N/A","N/A","N/A","N/A","N/A","H"
"Adult Ed","N/A","N/A","N/A","N/A","N/A","N/A","N/A","L"
"Alamo ES","N/A","N/A","N/A","N/A","N/A","N/A","N/A",""
"Allen ES","N/A","N/A","N/A","N/A","N/A","N/A","N/A",""
"Antonello ES","N/A","N/A","N/A","N/A","N/A","N/A","N/A",""
"Arbor View HS","N/A","N/A","N/A","N/A","N/A","N/A","N/A",""
"Bailey (Sister) ES","N/A","N/A","N/A","N/A","N/A","N/A","N/A",""
"Bailey MS","N/A","N/A","N/A","N/A","N/A","N/A","N/A","H"
"Bartlett ES","N/A","N/A","N/A","N/A","N/A","N/A","N/A",""
"Basic HS","N/A","N/A","N/A","N/A","N/A","N/A","N/A","H"
"Bass ES","N/A","N/A","N/A","N/A","N/A","N/A","N/A","H"
"Batterman ES","N/A","N/A","N/A","N/A","N/A","N/A","N/A",""
"Beatty ES","N/A","N/A","N/A","N/A","N/A","N/A","N/A",""
"Becker MS","N/A","N/A","N/A","N/A","N/A","N/A","N/A","H"
"Beckley ES","N/A","N/A","N/A","N/A","N/A","N/A","N/A","H"
"Bell ES","N/A","N/A","N/A","N/A","N/A","N/A","N/A","H"
"Bendorf ES","N/A","N/A","N/A","N/A","N/A","N/A","N/A",""
"Bennett ES","N/A","N/A","N/A","N/A","N/A","N/A","N/A","H"
"Berkley ES","N/A","N/A","N/A","N/A","N/A","N/A","N/A",""
"Bilbray ES","N/A","N/A","N/A","N/A","N/A","N/A","N/A","H"
"Blackhurst ES","N/A","N/A","N/A","N/A","N/A","N/A","N/A",""
"Blue Diamond ES","N/A","N/A","N/A","N/A","N/A","N/A","N/A",""
"Bonanza HS","N/A","N/A","N/A","N/A","N/A","N/A","N/A","H"
"Bonner ES","N/A","N/A","N/A","N/A","N/A","N/A","N/A",""
"Booker ES","N/A","N/A","N/A","N/A","N/A","N/A","N/A","H"
"Boulder City HS","N/A","N/A","N/A","N/A","N/A","N/A","N/A",""
"Bowler (Grant) ES","N/A","N/A","N/A","N/A","N/A","N/A","N/A","H"
"Bowler (Joseph) ES","N/A","N/A","N/A","N/A","N/A","N/A","N/A",""
"Bozarth ES","N/A","N/A","N/A","N/A","N/A","N/A","N/A",""
"Bracken ES","N/A","N/A","N/A","N/A","N/A","N/A","N/A","H"
"Bridger MS","N/A","N/A","N/A","N/A","N/A","N/A","N/A","H"
"Brinley MS","N/A","N/A","N/A","N/A","N/A","N/A","N/A","H"
"Brookman ES","N/A","N/A","N/A","N/A","N/A","N/A","N/A",""
"Brown JHS","N/A","N/A","N/A","N/A","N/A","N/A","N/A","H"
"Brown, HannahMarie ES","N/A","N/A","N/A","N/A","N/A","N/A","N/A",""
"Bruner ES","N/A","N/A","N/A","N/A","N/A","N/A","N/A",""
"Bryan (Richard) ES","N/A","N/A","N/A","N/A","N/A","N/A","N/A",""
"Bryan (Roger) ES","N/A","N/A","N/A","N/A","N/A","N/A","N/A",""
"Bunker ES","N/A","N/A","N/A","N/A","N/A","N/A","N/A",""
"Burk Horizon SWHS","N/A","N/A","N/A","N/A","N/A","N/A","N/A","L"
"Burkholder MS","N/A","N/A","N/A","N/A","N/A","N/A","N/A","H"
"Cadwallader MS","N/A","N/A","N/A","N/A","N/A","N/A","N/A","H"
"Cahlan ES","N/A","N/A","N/A","N/A","N/A","N/A","N/A","H"
"Cambeiro ES","N/A","N/A","N/A","N/A","N/A","N/A","N/A",""
"Canarelli MS","N/A","N/A","N/A","N/A","N/A","N/A","N/A","H"
"Cannon JHS","N/A","N/A","N/A","N/A","N/A","N/A","N/A","H"
