"","English/ Reading/Lang. Arts","Mathematics","Science","Social Studies","Foreign Languages","Arts","Elementary","Poverty Level (H/ L)"
"","%","%","%","%","%","%","%",""
"Early ChildhoodProgram","N/A","N/A","N/A","N/A","N/A","N/A","N/A","H"
"East CTA","N/A","N/A","N/A","N/A","N/A","N/A","N/A",""
"Edwards ES","N/A","N/A","N/A","N/A","N/A","N/A","N/A","H"
"Eisenberg ES","N/A","N/A","N/A","N/A","N/A","N/A","N/A",""
"Eldorado HS","N/A","N/A","N/A","N/A","N/A","N/A","N/A","H"
"Elizondo ES","N/A","N/A","N/A","N/A","N/A","N/A","N/A",""
"Ellis ES","N/A","N/A","N/A","N/A","N/A","N/A","N/A",""
"Escobedo MS","N/A","N/A","N/A","N/A","N/A","N/A","N/A","H"
"Explore KnowledgeES","N/A","N/A","N/A","N/A","N/A","N/A","N/A","L"
"Explore KnowledgeSEC","N/A","N/A","N/A","N/A","N/A","N/A","N/A","L"
"Faiss MS","N/A","N/A","N/A","N/A","N/A","N/A","N/A","H"
"Ferron ES","N/A","N/A","N/A","N/A","N/A","N/A","N/A","H"
"Fertitta MS","N/A","N/A","N/A","N/A","N/A","N/A","N/A","H"
"Findlay MS","N/A","N/A","N/A","N/A","N/A","N/A","N/A","H"
"Fine ES","N/A","N/A","N/A","N/A","N/A","N/A","N/A",""
"Fitzgerald ES","N/A","N/A","N/A","N/A","N/A","N/A","N/A",""
"Fong ES","N/A","N/A","N/A","N/A","N/A","N/A","N/A",""
"Foothill HS","N/A","N/A","N/A","N/A","N/A","N/A","N/A","H"
"Forbuss ES","N/A","N/A","N/A","N/A","N/A","N/A","N/A",""
"Fremont MS","N/A","N/A","N/A","N/A","N/A","N/A","N/A","H"
"French ES","N/A","N/A","N/A","N/A","N/A","N/A","N/A","H"
"Frias ES","N/A","N/A","N/A","N/A","N/A","N/A","N/A","H"
"Galloway ES","N/A","N/A","N/A","N/A","N/A","N/A","N/A","H"
"Garehime ES","N/A","N/A","N/A","N/A","N/A","N/A","N/A",""
"Garrett JHS","N/A","N/A","N/A","N/A","N/A","N/A","N/A","H"
"Garside JHS","N/A","N/A","N/A","N/A","N/A","N/A","N/A","H"
"Gehring ES","N/A","N/A","N/A","N/A","N/A","N/A","N/A",""
"Gibson (James) ES","N/A","N/A","N/A","N/A","N/A","N/A","N/A",""
"Gibson (Robert) MS","N/A","N/A","N/A","N/A","N/A","N/A","N/A","H"
"Gilbert ES","N/A","N/A","N/A","N/A","N/A","N/A","N/A","H"
"Givens ES","N/A","N/A","N/A","N/A","N/A","N/A","N/A",""
"Global CommunityHigh school","N/A","N/A","N/A","N/A","N/A","N/A","N/A",""
"Goldfarb ES","N/A","N/A","N/A","N/A","N/A","N/A","N/A",""
"Goodsprings ES","N/A","N/A","N/A","N/A","N/A","N/A","N/A",""
"Goolsby ES","N/A","N/A","N/A","N/A","N/A","N/A","N/A",""
"Goynes ES","N/A","N/A","N/A","N/A","N/A","N/A","N/A",""
"Gragson ES","N/A","N/A","N/A","N/A","N/A","N/A","N/A","H"
"Gray ES","N/A","N/A","N/A","N/A","N/A","N/A","N/A","H"
"Green Valley HS","N/A","N/A","N/A","N/A","N/A","N/A","N/A","H"
"Greenspun JHS","N/A","N/A","N/A","N/A","N/A","N/A","N/A","H"
"Griffith ES","N/A","N/A","N/A","N/A","N/A","N/A","N/A","H"
"Guinn MS","N/A","N/A","N/A","N/A","N/A","N/A","N/A","H"
"Gunderson, Barryand June MS","N/A","N/A","N/A","N/A","N/A","N/A","N/A","H"
"Guy ES","N/A","N/A","N/A","N/A","N/A","N/A","N/A",""
"Hancock ES","N/A","N/A","N/A","N/A","N/A","N/A","N/A","H"
"Harmon ES","N/A","N/A","N/A","N/A","N/A","N/A","N/A","H"
"Harney MS","N/A","N/A","N/A","N/A","N/A","N/A","N/A","H"
"Harris ES","N/A","N/A","N/A","N/A","N/A","N/A","N/A","H"
"Hayden ES","N/A","N/A","N/A","N/A","N/A","N/A","N/A",""
"Hayes ES","N/A","N/A","N/A","N/A","N/A","N/A","N/A",""
"Heard Academy ES","N/A","N/A","N/A","N/A","N/A","N/A","N/A",""
"Heckethorn ES","N/A","N/A","N/A","N/A","N/A","N/A","N/A",""
"Herr ES","N/A","N/A","N/A","N/A","N/A","N/A","N/A",""
"Herron ES","N/A","N/A","N/A","N/A","N/A","N/A","N/A","H"
"Hewetson ES","N/A","N/A","N/A","N/A","N/A","N/A","N/A","H"
"HGHDSRTYOP HS","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
